Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name,resistance label,Date,latitude,longitude
1744,101251,Joseph,,"Antigua, place unspecified",Hampton,8,"Wainwright, William",,1744-01-01,#N/A,#N/A
1744,101252,Fredericksburgh,,"Barbados, place unspecified",Rappahannock,6,"Monkhouse, James",,1744-01-01,#N/A,#N/A
1744,101253,Peggy,,"Barbados, place unspecified",Hampton,9,"Brett, John",,1744-01-01,#N/A,#N/A
1744,101254,Barbados Packet,,"Antigua, place unspecified",Hampton,2,"Morris, William",,1744-01-01,#N/A,#N/A
1744,101255,Molly,,"Barbados, place unspecified",Hampton,5,"Baker, Joshua",,1744-01-01,#N/A,#N/A
1744,101256,Nonpareil,,Spanish Town,Hampton,14,"Payne, Nath.",,1744-01-01,17.98333,-76.95
1744,101257,Bold Defiance,,"St. Kitts, port unspecified",Hampton,72,"Nicholls, Robert",,1744-01-01,17.3,-62.71667
1744,101258,Industry,,"Barbados, place unspecified",Hampton,1,"Malbone, Reo'd",,1744-01-01,#N/A,#N/A
1744,101259,Anne,,"Jamaica, place unspecified",Hampton,2,"Cooke, John",,1744-01-01,#N/A,#N/A
1744,101260,Peggy,,"Barbados, place unspecified",Hampton,16,"Brett, John",,1744-01-01,#N/A,#N/A
1744,101261,Cambridge,,"St. Kitts, port unspecified",Hampton,3,"Newton, George",,1744-01-01,17.3,-62.71667
1744,101262,Nesbitt,,"Antigua, place unspecified",Hampton,4,"Hall, Philip",,1744-01-01,#N/A,#N/A
1744,101263,Nansem'd [Ransomed?],,"Barbados, place unspecified",Hampton,1,"Meredith, David",,1744-01-01,#N/A,#N/A
1744,101264,Sea Flower,,"Montserrat, port unspecified",Hampton,1,"McKenny, Robert",,1744-01-01,16.7,-62.21667
1744,101265,Two Brothers,,"Barbados, place unspecified",Hampton,15,"Orchard, William",,1744-01-01,#N/A,#N/A
1744,101266,Molly,,"Antigua, place unspecified",Hampton,2,"Crary, Thomas",,1744-01-01,#N/A,#N/A
1744,101267,Bobby,,"Barbados, place unspecified",Hampton,1,"Loyall, Paul",,1744-01-01,#N/A,#N/A
1744,101268,Honest Industry,,Philadelphia,Hampton,2,"Landon, Samuel",,1744-01-01,39.9522,-75.1642
1744,101269,May Flower,,Bermuda,Hampton,3,"Eden, Solomon",,1744-01-01,32.29417,-64.78389
1744,101270,Deborah,,Bermuda,Hampton,1,"Brown, Samuel",,1744-01-01,32.29417,-64.78389
1744,101271,Peggy,,St. Eustatius,Hampton,1,"Brett, John",,1744-01-01,17.46667,-62.98333
1744,101272,Esther,,Bermuda,Hampton,1,"Savage, Robert",,1744-01-01,32.29417,-64.78389
1745,101273,Endeavour,,"St. Kitts, port unspecified",Hampton,50,"Dickenson, John",,1745-01-01,17.3,-62.71667
1745,101274,Peggy,,"Barbados, place unspecified",Hampton,3,"Robertson, William",,1745-01-01,#N/A,#N/A
1745,101275,May Flower,,"Barbados, place unspecified",Hampton,2,"Eden, Solomon",,1745-01-01,#N/A,#N/A
1745,101276,Polly,,"Antigua, place unspecified",Hampton,2,"Ivy, Joseph",,1745-01-01,#N/A,#N/A
1745,101277,Bobby,,"Barbados, place unspecified",Hampton,1,"Loyall, Paul",,1745-01-01,#N/A,#N/A
1745,101278,Fanny,,"St. Kitts, port unspecified",Hampton,2,"Calvert, Max",,1745-01-01,17.3,-62.71667
1745,101279,Peggy,,"Barbados, place unspecified",Hampton,30,"Robertson, William",,1745-01-01,#N/A,#N/A
1745,101280,Elizabeth,,Bermuda,Hampton,2,"Gibbs, John",,1745-01-01,32.29417,-64.78389
1745,101281,Race Horse,,"Antigua, place unspecified",Hampton,5,"Hawkins, James",,1745-01-01,#N/A,#N/A
1745,101282,Orphan of Tehoa,,"Barbados, place unspecified",Hampton,12,"Evarard, John",,1745-01-01,#N/A,#N/A
1745,101283,Bobby,,"Barbados, place unspecified",Hampton,3,"Loyall, Paul",,1745-01-01,#N/A,#N/A
1745,101284,Betsy,,"Barbados, place unspecified",Hampton,19,"Lynch, Patrick",,1745-01-01,#N/A,#N/A
1745,101285,Bobby,,"Barbados, place unspecified",Hampton,11,"Loyall, Paul",,1745-01-01,#N/A,#N/A
1745,104022,Sarah,,"Barbados, place unspecified",York River,4,"Tenant, Samuel",,1745-01-01,#N/A,#N/A
1746,101286,Betty,,"Barbados, place unspecified",Hampton,16,"Moseley, William",,1746-01-01,#N/A,#N/A
1746,101287,Peggy,,"Barbados, place unspecified",Hampton,36,"Robertson, William",,1746-01-01,#N/A,#N/A
1746,101288,Bobby,,"Barbados, place unspecified",Hampton,15,"Loyall, Paul",,1746-01-01,#N/A,#N/A
1746,101289,Mercury,,"Barbados, place unspecified",Rappahannock,53,"Gaitskill, John",,1746-01-01,#N/A,#N/A
1746,101290,Betty,,"Barbados, place unspecified",Rappahannock,5,"Willoughby, Lemuel",,1746-01-01,#N/A,#N/A
1746,101291,Industry,,"Barbados, place unspecified",Rappahannock,55,"Tatem, Trim'r",,1746-01-01,#N/A,#N/A
1746,101292,Peggy,,"Barbados, place unspecified",Rappahannock,11,"Calvert, Cornelius",,1746-01-01,#N/A,#N/A
1746,101293,Elizabeth,,"St. Kitts, port unspecified",Hampton,24,"Loyd, Owen",,1746-01-01,17.3,-62.71667
1746,101294,Cunliffe,,"Barbados, place unspecified",York River,90,"Johnson, John",,1746-01-01,#N/A,#N/A
1746,101295,Betty,,"Barbados, place unspecified",Hampton,13,"Moseley, William",,1746-01-01,#N/A,#N/A
1746,101296,Bobby,,"Barbados, place unspecified",Hampton,11,"Loyall, Paul",,1746-01-01,#N/A,#N/A
1746,101297,Jolly Batchellor,,"Barbados, place unspecified",Hampton,3,"Newbold, Joseph",,1746-01-01,#N/A,#N/A
1746,101298,Joseph,,"Antigua, place unspecified",Rappahannock,1,"Cox, William",,1746-01-01,#N/A,#N/A
1746,101300,Industry,,"Barbados, place unspecified",Hampton,3,"Tatem, Trim'r",,1746-01-01,#N/A,#N/A
1746,101301,Peggy,,"Barbados, place unspecified",Hampton,1,"Calvert, Cornelius",,1746-01-01,#N/A,#N/A
1746,101302,John and Elizabeth,,"Antigua, place unspecified",Hampton,2,"Adams, Matthew",,1746-01-01,#N/A,#N/A
1746,101303,Johnny,,"Barbados, place unspecified",Hampton,8,"Loyall, William",,1746-01-01,#N/A,#N/A
1746,101366,Ann,,Turk's Island,Hampton,1,"Darrell, Samuel",,1746-01-01,21.4,-71.11667
1747,101304,Rawleigh,,"Barbados, place unspecified",Hampton,26,"Bishop, Edward",,1747-01-01,#N/A,#N/A
1747,101305,Delights Exchange,,"Anguilla, port unspecified",Hampton,2,"Todd, Henry",,1747-01-01,18.21667,-63.05
1747,107182,Dolphin,,Piscataqua,"Virginia, port unspecified",,"Holmes, Benjamin",,1747-01-01,43.10056,-70.79333
1749,101306,Bobby,,"Jamaica, place unspecified",Hampton,6,"Loyall, John",,1749-01-01,#N/A,#N/A
1749,101307,Industry,,"Barbados, place unspecified",Hampton,6,"Miller, Matthew",,1749-01-01,#N/A,#N/A
1749,101308,Batchelor,,"Anguilla, port unspecified",Hampton,1,"Hodge, Henry",,1749-01-01,18.21667,-63.05
1749,101309,Saint Andrew,,"Antigua, place unspecified",Hampton,31,"McLincock, William",,1749-01-01,#N/A,#N/A
1749,101310,Salley,,"Barbados, place unspecified",Hampton,3,"Haire, Parteen",,1749-01-01,#N/A,#N/A
1749,101311,Fanny,,"Barbados, place unspecified",Hampton,8,"Haire, James",,1749-01-01,#N/A,#N/A
1749,101312,Ann,,"Barbados, place unspecified",Hampton,18,"Miller, Mason",,1749-01-01,#N/A,#N/A
1749,101313,Harry,,"Barbados, place unspecified",Upper James River,155,"Tucker, Charles",,1749-01-01,#N/A,#N/A
1749,101314,John and Mary,,"Barbados, place unspecified",York River,16,"Allen, Anthony",,1749-01-01,#N/A,#N/A
1749,101315,Industry,,"Barbados, place unspecified",Hampton,1,"Miller, Matthew",,1749-01-01,#N/A,#N/A
1749,101316,Elizabeth and Mary,,"St. Kitts, port unspecified",Hampton,1,"Minors, Benjamin",,1749-01-01,17.3,-62.71667
1749,101317,Providence,,"Barbados, place unspecified",Hampton,3,"Langley, Thomas",,1749-01-01,#N/A,#N/A
1749,101318,Ann,,"Barbados, place unspecified",Hampton,3,"Miller, Mason",,1749-01-01,#N/A,#N/A
1749,104085,Success,,"Barbados, place unspecified",South Potomac,20,"Cranston, Jeremiah",,1749-01-01,#N/A,#N/A
1749,104086,William and Thomas,,"Antigua, place unspecified",South Potomac,10,"Crosby, George",,1749-01-01,#N/A,#N/A
1750,101319,Scarbrough,,"Montserrat, port unspecified",Hampton,1,"Tucker, Benjamin",,1750-01-01,16.7,-62.21667
1750,101320,Kingston,,"Barbados, place unspecified",York River,1,"Allen, Anthony",,1750-01-01,#N/A,#N/A
1750,101321,Olive,,"Barbados, place unspecified",South Potomac,50,"West, John",,1750-01-01,#N/A,#N/A
1750,101322,Bobby,,"Barbados, place unspecified",Hampton,19,"Willoughby, Samuel",,1750-01-01,#N/A,#N/A
1750,101323,Joanna,,"Barbados, place unspecified",Hampton,48,"Calvert, Cornelius",,1750-01-01,#N/A,#N/A
1750,101324,Antigua Packet,,"Antigua, place unspecified",Hampton,8,"Young, David",,1750-01-01,#N/A,#N/A
1750,101325,Johnson,,"Antigua, place unspecified",Hampton,16,"Orr, John",,1750-01-01,#N/A,#N/A
1750,101326,Success,,"Barbados, place unspecified",South Potomac,25,"Cranston, Jeremiah",,1750-01-01,#N/A,#N/A
1750,107982,Norfolk,,Caribbean (colony unspecified),Rappahannock,8,Steavenson,,1750-01-01,20,-70
1751,101327,Joseph,,"St. Kitts, port unspecified",Hampton,31,"Jones, Henry",,1751-01-01,17.3,-62.71667
1751,101328,James Town,,"Barbados, place unspecified",Hampton,2,"Mallory, John",,1751-01-01,#N/A,#N/A
1751,101329,Relief,,"Barbados, place unspecified",Hampton,1,"Bayne, John",,1751-01-01,#N/A,#N/A
1751,101330,Providence,,"Barbados, place unspecified",Hampton,1,"Langley, Thomas",,1751-01-01,#N/A,#N/A
1751,101331,Antigua Packet,,"Antigua, place unspecified",Hampton,2,"Young, David",,1751-01-01,#N/A,#N/A
1751,101332,Industry,,"Barbados, place unspecified",Hampton,18,"Miller, Matthew",,1751-01-01,#N/A,#N/A
1751,101333,George,,"Montserrat, port unspecified",Hampton,1,"Geran, John",,1751-01-01,16.7,-62.21667
1751,101334,Success,,"Barbados, place unspecified",Hampton,16,"Cranston, Jeremiah",,1751-01-01,#N/A,#N/A
1751,101335,Richard,,"Antigua, place unspecified",Hampton,4,"Defoy, Jeremiah",,1751-01-01,#N/A,#N/A
1751,101336,Anne and Susanna,,"Barbados, place unspecified",Hampton,48,"Boyes, Michael",,1751-01-01,#N/A,#N/A
1751,101337,Diamond,,"St. Kitts, port unspecified",Hampton,13,"Wilson, Adam",,1751-01-01,17.3,-62.71667
1751,101338,Jubilee,,"Barbados, place unspecified",Hampton,10,"Snow, George",,1751-01-01,#N/A,#N/A
1751,101339,Frances,,"Barbados, place unspecified",Hampton,4,"Dunn, Joel",,1751-01-01,#N/A,#N/A
1751,101340,Providence,,"Barbados, place unspecified",Hampton,3,"Calvert, Saunders",,1751-01-01,#N/A,#N/A
1751,101341,Phoenix,,"Barbados, place unspecified",Hampton,3,"Kelly, Samuel",,1751-01-01,#N/A,#N/A
1751,101342,Hopewell,,"Barbados, place unspecified",South Potomac,36,"McDonald, Angus",,1751-01-01,#N/A,#N/A
1751,101343,Norfolk,,"Antigua, place unspecified",Hampton,1,"Boyd, Robert",,1751-01-01,#N/A,#N/A
1751,101344,Caesar,,"St. Kitts, port unspecified",Hampton,5,"Sword, James",,1751-01-01,17.3,-62.71667
1751,101345,Fanny,,"Barbados, place unspecified",York River,1,"Whitterong, William",,1751-01-01,#N/A,#N/A
1751,101346,Saint George,,"St. Kitts, port unspecified",York River,6,"Baker, Richard",,1751-01-01,17.3,-62.71667
1752,101347,Lilly,,"St. Kitts, port unspecified",York River,19,"Thomas, John",,1752-01-01,17.3,-62.71667
1752,101348,Phoenix,,"Barbados, place unspecified",Upper James River,11,"Kelly, Samuel",,1752-01-01,#N/A,#N/A
1752,101349,Bonaccord,,"Antigua, place unspecified",Rappahannock,5,"Nisbet, Joseph",,1752-01-01,#N/A,#N/A
1752,104028,Little Harry,,"Barbados, place unspecified","Virginia, port unspecified",5,"Mudie, James",,1752-01-01,#N/A,#N/A
1752,104029,Betsie,,"Nevis, port unspecified","Virginia, port unspecified",2,"O'Neal, Corn.",,1752-01-01,17.2,-62.58333
1752,104030,Samuel and James,,"St. Kitts, port unspecified","Virginia, port unspecified",8,"Smith, John",,1752-01-01,17.3,-62.71667
1752,104071,Fredericksburg,,"Barbados, place unspecified",Rappahannock,35,"Holmes, William",,1752-01-01,#N/A,#N/A
1752,104091,Success,,"Barbados, place unspecified","Virginia, port unspecified",2,"Cranston, Jeremiah",,1752-01-01,#N/A,#N/A
1752,104092,Molly,,"Barbados, place unspecified","Virginia, port unspecified",10,"Chamberline, Roger",,1752-01-01,#N/A,#N/A
1752,104093,Africa,,"Barbados, place unspecified",South Potomac,16,"Lundin, James",,1752-01-01,#N/A,#N/A
1752,104457,Nansemond,,"Barbados, place unspecified",Lower James River,21,"Irwin, James",,1752-01-01,#N/A,#N/A
1752,104458,Mermaid,,"Antigua, place unspecified",Lower James River,2,"Blake, Patrick",,1752-01-01,#N/A,#N/A
1752,104629,Susanna,,"South Carolina, place unspecified",Rappahannock,2,"Lang, William",,1752-01-01,#N/A,#N/A
1752,107173,Two Brothers,,Piscataqua,"Virginia, port unspecified",,"Ratliffs, Samuel",,1752-01-01,43.10056,-70.79333
1752,107980,Nancy,,"British Caribbean, colony unspecified",Lower James River,1,Carey,,1752-01-01,18,-76.8
1753,101350,Expedition,,"Barbados, place unspecified",Rappahannock,19,"Littledale, John",,1753-01-01,#N/A,#N/A
1753,101351,Hannah,,"Anguilla, port unspecified",Hampton,2,"White, Jesse",,1753-01-01,18.21667,-63.05
1754,101352,Lucky Gally,,Providence,Hampton,3,"Joell, William",,1754-01-01,41.8239,-71.4133
1754,101353,Rebecca,,"Antigua, place unspecified",Hampton,4,"Young, David",,1754-01-01,#N/A,#N/A
1754,101354,Providence,,"Barbados, place unspecified",Hampton,8,"McCall, Archibald",,1754-01-01,#N/A,#N/A
1754,101355,Fanny,,"Antigua, place unspecified",Hampton,8,"Haynes, William",,1754-01-01,#N/A,#N/A
1754,101356,Pride,,"Barbados, place unspecified",York River,6,"Bedford, Thomas",,1754-01-01,#N/A,#N/A
1754,101357,Charming Ann,,Bermuda,York River,4,"Baker, Richard",,1754-01-01,32.29417,-64.78389
1754,101358,Nancy,,"Barbados, place unspecified",York River,31,"Wallis, Richard",,1754-01-01,#N/A,#N/A
1754,101359,Betsey,,"Montserrat, port unspecified",Hampton,6,"Calvert, William",,1754-01-01,16.7,-62.21667
1754,101360,Rebecca,,"Antigua, place unspecified",Hampton,15,"Young, David",,1754-01-01,#N/A,#N/A
1754,101361,Judith,,"Barbados, place unspecified",York River,3,"Power, Jeffrey",,1754-01-01,#N/A,#N/A
1754,101362,Rose,,"Barbados, place unspecified",Hampton,40,"Cuthbert, William",,1754-01-01,#N/A,#N/A
1754,101363,Catherine and Mary,,"Montserrat, port unspecified",Hampton,3,"Righton, Stephen",,1754-01-01,16.7,-62.21667
1754,101364,Lucky Gally,,Turk's Island,Hampton,2,"Joell, Solomon",,1754-01-01,21.4,-71.11667
1754,101367,Industry,,"Barbados, place unspecified",Hampton,2,"Calvert, Saunders",,1754-01-01,#N/A,#N/A
1754,101368,Charming Ann,,Bermuda,Upper James River,4,"Godfrey, Edward",,1754-01-01,32.29417,-64.78389
1754,104094,Two Friends,,"Antigua, place unspecified","Virginia, port unspecified",18,"Higgins, Jacob",,1754-01-01,#N/A,#N/A
1754,107973,Nanny,,"Antigua, place unspecified",Hampton,8,"Haymer, William",,1754-01-01,#N/A,#N/A
1754,107981,Freemason,,"Nevis, port unspecified",Lower James River,2,Devereaux,,1754-01-01,17.2,-62.58333
1755,101369,Caple,,"Jamaica, place unspecified",Hampton,1,"Mullins, William",,1755-01-01,#N/A,#N/A
1755,101370,Betsey,,Bermuda,Upper James River,2,"Cocke, James",,1755-01-01,32.29417,-64.78389
1755,101371,Charming Susanna,,"Jamaica, place unspecified",Hampton,54,"Wake, John",,1755-01-01,#N/A,#N/A
1755,101372,Fanny,,"Antigua, place unspecified",Hampton,3,"Peart, Francis",,1755-01-01,#N/A,#N/A
1755,101373,Frances,,"Barbados, place unspecified",Hampton,37,"Loyall, John",,1755-01-01,#N/A,#N/A
1755,101374,Kingston,,"Barbados, place unspecified",York River,1,"Thompkins, Robert",,1755-01-01,#N/A,#N/A
1755,102679,Polly,,Kingston,"Virginia, port unspecified",,"Almy, Benjamin",,1755-01-01,17.98333,-76.8
1755,104034,Fanny,,"Barbados, place unspecified","Virginia, port unspecified",11,"Henderson, Thomas",,1755-01-01,#N/A,#N/A
1755,104470,Allethea,,Spanish Town,Lower James River,2,"Laborn, Joseph",,1755-01-01,17.98333,-76.95
1755,104471,Warwick,,"Barbados, place unspecified",Lower James River,1,"Darrell, William",,1755-01-01,#N/A,#N/A
1756,101375,Charming Ann,,Bermuda,Upper James River,2,"Baker, Richard",,1756-01-01,32.29417,-64.78389
1757,101376,Sarah,,New England,Hampton,4,"Caldwell, John",,1757-01-01,44.12283,-69.17
1758,101377,Polly and Hellen,,"Barbados, place unspecified",Hampton,8,"Calvert, John",,1758-01-01,#N/A,#N/A
1758,101378,Jamestown,,"Barbados, place unspecified",Hampton,1,"Peart, Francis",,1758-01-01,#N/A,#N/A
1758,101379,Frances,,"Antigua, place unspecified",Hampton,26,"Loyall, John",,1758-01-01,#N/A,#N/A
1758,104839,Mars,,"Americas, port unspecified","Virginia, port unspecified",8,"Bureton, Thomas",,1758-01-01,0,0
1759,101380,Nancy,,"St. Kitts, port unspecified",Accomac,10,"Lamont, Ardis",,1759-01-01,17.3,-62.71667
1760,101381,Industry,,"Barbados, place unspecified",Hampton,6,"Smallwood, Charles",,1760-01-01,#N/A,#N/A
1761,101382,Industry,,"Barbados, place unspecified",York River,5,"Smallwood, Charles",,1761-01-01,#N/A,#N/A
1762,101383,Molly,,Bermuda,Accomac,5,"Peniston, Samuel",,1762-01-01,32.29417,-64.78389
1762,101384,Rising Sun,,Nantucket,Accomac,10,"Easterbrook, John",,1762-01-01,41.2834704,-70.099459
1762,101385,William,,Boston,Upper James River,5,"Cox, Joseph",,1762-01-01,42.36166,-71.05947
1762,101386,Duck,,Piscataqua,Upper James River,3,"Vicker, William",,1762-01-01,43.10056,-70.79333
1762,101387,Africa,,Perth Amboy,Upper James River,15,"Hammond, Stephen",,1762-01-01,40.50645,-74.26577
1762,104634,Calypso,,"Rhode Island, port unspecified","Virginia, port unspecified",5,"Taylor, Edward",,1762-01-01,41.49,-71.31
1762,104649,Eagle,,Piscataqua,"Virginia, port unspecified",4,"Vicker, William",,1762-01-01,43.10056,-70.79333
1762,107194,Nancy,,Boston,"Virginia, port unspecified",,"Mosely, Anthony",,1762-01-01,42.36166,-71.05947
1763,101388,Pope's Head,,"Antigua, place unspecified",Hampton,18,"Adams, William",,1763-01-01,#N/A,#N/A
1763,101389,Duke of York,,"St. Kitts, port unspecified",Hampton,10,"Cooper, Benjamin",,1763-01-01,17.3,-62.71667
1763,101390,Greyhound,,"Grenada, place unspecified",Hampton,8,"Shaw, Alexander",,1763-01-01,#N/A,#N/A
1763,101391,John and Susanna,,"Antigua, place unspecified",York River,4,"Mudie, James",,1763-01-01,#N/A,#N/A
1763,104095,Industry,,"St. Kitts, port unspecified","Virginia, port unspecified",14,"Thompson, John",,1763-01-01,17.3,-62.71667
1764,101392,Batchelor,,"Barbados, place unspecified",Hampton,4,"Eastment, James",,1764-01-01,#N/A,#N/A
1764,101393,John,,"Barbados, place unspecified",Hampton,4,"Seymour, Stephen",,1764-01-01,#N/A,#N/A
1764,101394,Speedwell,,"Barbados, place unspecified",Hampton,1,"Mason, Nathaniel N.",,1764-01-01,#N/A,#N/A
1764,101395,Hoope,,"Barbados, place unspecified",Hampton,9,"Peart, Francis",,1764-01-01,#N/A,#N/A
1764,101396,Peggy,,"Antigua, place unspecified",Hampton,5,"Calvert, John",,1764-01-01,#N/A,#N/A
1764,104096,Betsey,,"St. Kitts, port unspecified","Virginia, port unspecified",7,"Heffington, William",,1764-01-01,17.3,-62.71667
1764,104484,Ann,,"Barbados, place unspecified",Hampton,16,"Dawson, James",,1764-01-01,#N/A,#N/A
1764,104486,Lancaster,,"Jamaica, place unspecified",Hampton,6,"Lewellan, Luke",,1764-01-01,#N/A,#N/A
1765,101397,Susanna,,"Antigua, place unspecified",Hampton,10,"Westcott, John",,1765-01-01,#N/A,#N/A
1765,101398,Mary,,"Barbados, place unspecified",Hampton,2,"Caron, Daniel",,1765-01-01,#N/A,#N/A
1765,101399,Little Archey,,"Grenada, place unspecified",Hampton,8,"Consaull, Charles",,1765-01-01,#N/A,#N/A
1765,101400,Prince of Wales,,"Barbados, place unspecified",Hampton,32,"Edey, Solomon",,1765-01-01,#N/A,#N/A
1765,101401,Esther,,"Nevis, port unspecified",Hampton,11,"Harvey, Seth",,1765-01-01,17.2,-62.58333
1765,101402,Sally,,"Barbados, place unspecified",Hampton,3,"Hutchins, Thomas",,1765-01-01,#N/A,#N/A
1765,104097,Nancy,,"Barbados, place unspecified","Virginia, port unspecified",19,"Hilton, Henry",,1765-01-01,#N/A,#N/A
1765,104098,Priscilla,,"Barbados, place unspecified","Virginia, port unspecified",24,"Conway, Rich",,1765-01-01,#N/A,#N/A
1766,102731,Providence,,Kingston,"Virginia, port unspecified",,"Watworth, Joseph",,1766-01-01,17.98333,-76.8
1766,104495,Little Molly,,"Barbados, place unspecified",Hampton,6,"Simms, Rich",,1766-01-01,#N/A,#N/A
1766,104496,Two Friends,,"Antigua, place unspecified","Virginia, port unspecified",9,"Keeble, Humphrey",,1766-01-01,#N/A,#N/A
1766,104635,John and Betsey,,Philadelphia,"Virginia, port unspecified",1,"Bunting, William",,1766-01-01,39.9522,-75.1642
1767,101404,Hawke,,"St. Kitts, port unspecified",Hampton,7,"Bayley, Wilson B.",,1767-01-01,17.3,-62.71667
1767,101405,Black Prince,,"Antigua, place unspecified",Hampton,40,"Thomas, Charles",,1767-01-01,#N/A,#N/A
1767,103880,Peggy,,"Antigua, place unspecified","Virginia, port unspecified",5,"Webb, George",,1767-01-01,#N/A,#N/A
1767,104144,Defiance,,"Dominica, place unspecified",Upper James River,10,"Clarke, John",,1767-01-01,#N/A,#N/A
1767,104497,Norfolk,,"Jamaica, place unspecified","Virginia, port unspecified",6,"Southerland, John",,1767-01-01,#N/A,#N/A
1768,101406,Two Friends,,"Antigua, place unspecified",Hampton,9,"Keeble, Humphrey",,1768-01-01,#N/A,#N/A
1768,101407,Defyance,,"Antigua, place unspecified",Hampton,10,"Stewart, Roger",,1768-01-01,#N/A,#N/A
1768,101408,Content,,"St. Kitts, port unspecified",Hampton,4,"Martin, David",,1768-01-01,17.3,-62.71667
1769,101409,Clyde,,"Antigua, place unspecified",Upper James River,2,"Buchanan, Matthew",,1769-01-01,#N/A,#N/A
1769,101410,Darby,,Salem,Upper James River,1,"Allen, John",,1769-01-01,42.5194,-70.8972
1769,104101,Peggy,,"Antigua, place unspecified","Virginia, port unspecified",10,"Wise, Samuel",,1769-01-01,#N/A,#N/A
1769,104146,Roe Gally,,"Antigua, place unspecified","Virginia, port unspecified",,"McKinley, Pat",,1769-01-01,#N/A,#N/A
1769,104147,Lilly,,"Antigua, place unspecified","Virginia, port unspecified",,?,,1769-01-01,#N/A,#N/A
1769,104500,Fanny,,St. Eustatius,"Virginia, port unspecified",25,"Oliffe, John",,1769-01-01,17.46667,-62.98333
1769,104626,Success,,Piscataqua,"Virginia, port unspecified",1,"Stanwood, Joseph",,1769-01-01,43.10056,-70.79333
1769,104630,Industry,,"Rhode Island, port unspecified","Virginia, port unspecified",1,"Shepardson, Elijah",,1769-01-01,41.49,-71.31
1770,103875,Speirs,,"Barbados, place unspecified","Virginia, port unspecified",15,"Lusk, James",,1770-01-01,#N/A,#N/A
1770,104148,Warwick,,"Barbados, place unspecified","Virginia, port unspecified",26,"Macvey, An.",,1770-01-01,#N/A,#N/A
1770,104149,Industry,,"Barbados, place unspecified","Virginia, port unspecified",8,"Sinclair, Art",,1770-01-01,#N/A,#N/A
1771,103874,Nelly,,"Barbados, place unspecified",Rappahannock,90,"Orr, Hugh",,1771-01-01,#N/A,#N/A
1771,103883,John and Willis,,"Grenada, place unspecified","Virginia, port unspecified",22,"Wilson, Willis",,1771-01-01,#N/A,#N/A
1771,103884,Corlet,,"St. Vincent, port unspecified",Hampton,12,"Harris, John",,1771-01-01,13.13333,-61.21667
1771,103885,Liberty,,"Nevis, port unspecified",Hampton,24,"Parrott, James",,1771-01-01,17.2,-62.58333
1771,104038,Hope,,"Grenada, place unspecified","Virginia, port unspecified",16,"Wilson, Stephen",,1771-01-01,#N/A,#N/A
1771,104099,Swift,,"Jamaica, place unspecified","Virginia, port unspecified",7,"Sanford, Lawrence",,1771-01-01,#N/A,#N/A
1771,104150,Nancy,,"Antigua, place unspecified",Hampton,29,"Wise, Samuel",,1771-01-01,#N/A,#N/A
1771,104151,Jenny,,"Barbados, place unspecified","Virginia, port unspecified",12,"Tullarton, William",,1771-01-01,#N/A,#N/A
1771,104152,Nancy,,"Grenada, place unspecified","Virginia, port unspecified",10,"Paterson, Peter",,1771-01-01,#N/A,#N/A
1771,104501,Sally,,"Barbados, place unspecified",Hampton,15,"Hatton, Lewis",,1771-01-01,#N/A,#N/A
1771,104502,Rochard,,"Grenada, place unspecified","Virginia, port unspecified",4,"Clausland, William",,1771-01-01,#N/A,#N/A
1771,104503,Hansford,,"Antigua, place unspecified",Hampton,47,"Wilson, Chris",,1771-01-01,#N/A,#N/A
1771,104504,Smithfield,,"St. Kitts, port unspecified",Hampton,6,"Cochrane, Alexander",,1771-01-01,17.3,-62.71667
1771,104505,Diana,,"Antigua, place unspecified",Hampton,4,"McClenahan, William",,1771-01-01,#N/A,#N/A
1771,104506,Molly,,"Nevis, port unspecified",Hampton,81,"Edgar, Thomas",,1771-01-01,17.2,-62.58333
1771,104507,Grace,,"Antigua, place unspecified",Hampton,3,"Blaws, Robert",,1771-01-01,#N/A,#N/A
1771,104508,Botetourt,,"Jamaica, place unspecified",Hampton,12,"Pollock, Thomas",,1771-01-01,#N/A,#N/A
1771,104510,Pearle,,"Barbados, place unspecified",Hampton,43,"Brett, William",,1771-01-01,#N/A,#N/A
1771,104511,Black Prince,,"Antigua, place unspecified",Hampton,7,"Elliot, Robert",,1771-01-01,#N/A,#N/A
1771,104512,Hansford,,"Antigua, place unspecified",Hampton,66,"Wilson, Chris",,1771-01-01,#N/A,#N/A
1771,104513,Little Molly,,"Barbados, place unspecified",Hampton,2,"Williamson, Joseph",,1771-01-01,#N/A,#N/A
1771,104514,Alice,,"Barbados, place unspecified",Hampton,12,"Carlton, George",,1771-01-01,#N/A,#N/A
1771,104515,Young Matthew,,"Antigua, place unspecified",Hampton,10,"Cooper, Abram",,1771-01-01,#N/A,#N/A
1771,104516,Fanny,,"Nevis, port unspecified",Hampton,7,"Catlin, Francis",,1771-01-01,17.2,-62.58333
1771,104517,Nancy,,"Nevis, port unspecified",Hampton,15,"Mowbray, John",,1771-01-01,17.2,-62.58333
1771,104518,Tanner,,"St. Kitts, port unspecified",Hampton,5,"Kelso, John",,1771-01-01,17.3,-62.71667
