newspaper,newspaper_ID_histCommons,printer,print_location,date,written_date,year,reference_type,reference_location,author_informant_gender,text,notes
The Virginia Gazette,2,Clementia Rind,"Williamsburg, Virginia",1773_08_26,"August 26, 1773",1773,occurred insurrections,Honduras,unknown,"
Extract of a Letter from St.
George's Key, Bay of
Honduras, June 4,
1773.
""On the 28th ult. An
Insurrection broke out among
the Negroes in the Old River,
and at their first setting out they
killed two white Men. By the
Negroes who have made their
Escape from them, we learn
that this Matter had been long
concerting. Three Days ago
there were above 100 armed
Men sent after them; at first
there were only 22 or 23
Insurgents. This Moment we
have received the melancholy
Account, by a White Man and a
Woman who had been taken
and afterwards released by
them, that on the first Instant
the Rebels came to their House,
first bound them to a Post, and
then robbed it of every Thing
they chose to carry off, and
obliged all the Negroes to join
them. The white Man whom
they saved, and Mr. John Hill,
were standing together, when
one of the Rebels shot the latter
dead. They then proceeded to
attack two Families at five
Miles Distance, declaring they
would kill all the white
Inhabitants there; and some
Time after four Guns were
heard to go off at one of the
said Houses, which we fear has
proved fatal to all the Whites.
Their Numbers are now
supposed to be 70 or 80 strong;
we are obliged to be under
Arms Night and Day. Captain
Davis, who commands the
Diligence Sloop of War, has
been extremely kind and usual
with his Men and Arms. There
will be very little Wood of any
Kind shipped from hence this
Year. I believe the Insurrection
will be general. There are
several Negroes in the new
River taken to the Bush; and
yesterday, as a Craft was
coming down the Rio Honde,
they killed the Steersman, and
went off to the Spaniards, who
will protect them. These
Disturbances will altogether
put a Stop to Business; indeed
most People threaten to leave
the Country.""","enslaved insurrection in Honduras, St. George's Key; full letter"
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1773_10_07,"October 7, 1773",1773,occurred insurrections,Honduras,male,"Wednesday Evening arrived
here, in 23 Days from the Bay,
the Snow Esher, Captain Dunn,
bound to Boston, but put in
here, being in Want of
Provisions. He reports, that
there are about twenty of the
most desperate of the Negroes
still on Arms; that five who
were taken were executed in
the following Manner, namely,
one hanged, three burnt, and
one gibbeted alive. That their
Plan (which was laid with such
Art as to give it a Probability of
Success) was to have murdered
every white Person and their
Adherents; but the full
Execution of it was happily
prevented by the Confession of
one of the Conspirators, who
had been taken. That since the
Beginning of the Insurrection
they had murdered about
twenty white people. That a
Man of War was arrived there
from Jamaica, and they had
sent for another to protect
them. That they were in great
Want of Provisions, and none
to be had, the Trade being
entirely at an End. No
Logwood or Mahogany cut this
Year, and what had been left of
what was cut before washed
away with the Floods. That in
six Weeks upwards of forty
Negroes had gone over to the
Spaniards, who protected and
refused to deliver them up; and
twenty more, in one Gang,
went off just before he left the
Bay. That most of the white
People were preparing to leave
it, with their Negroes and
Effects, some of them intending
to settle in Georgia, being very
apprehensive the Spaniards
would come down upon them
and make Reprisals for the
Salvage of the Spanish Register
Ship Thetis, which had been
lost at the Bay long Time ago,
as mentioned in the Papers.",describes the aftermath of the insurection at Honduras bay and notes that some enslaved rebels escaped to Spanish florida
The Virginia Gazette,2,Clementia Rind,"Williamsburg, Virginia",1773_10_07,"October 7, 1773",1773,occurred insurrections,Honduras,male,"Wednesday night arrived the
snow Esther, Capt. Dann, in 32
days from Honduras, by whom
we learn that some of the
rebellious Negroes had been
taken, and five of them
executed; that twenty of the
most resolute had run away to
the Spaniards, and that the
people had quitted the rivers,
and retreated to the Key, where
they were obliged to keep a
guard for fear of the Negroes
there rising upon them. Capt.
Eves, of Philadelphia, the only
vessel left at that place, was to
fail, in a few days, for Georgia,
with 100 Negroes, and most of
the principal families. The
inhabitants expected the
Spaniards down upon them, to
demand the property saved
from the Register Ship, lately
cast away there. The Diligent
man of war was obliged to quit
her station for want of
provisions; and the inhabitants
had sent an express to the
admiral at Jamaica, soliciting
another royal vessel for their
protection.",describes the aftermath of the insurection at Honduras bay and notes that some enslaved rebels escaped to Spanish florida
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1774_08_25,"August 25, 1774",1774,editorial ,Sint Eustatius,male,"Extract of a Letter from a Gentlemen in St. Eustatia to his Friend in Boston, dated the 4th of July last .

""I am extremely concerned at the Measures pursuing by Great Britain against the Colonies, for poor Boston in particular. It could never be meant that the was to be the sole Butt of their—I will call no harsh Names. The rest of the Colonies were in full Perspective. Gradual in Execution, was the most probable Means of gaining and Establishing a Precedent. The Capital subdued to Obedience would have been sufficient, to every Purpose. By Obedience, I mean Obedience to the extraordinary new Mandates; and I can assure you that but few who know the interest of the English Carihbee Island but must, and do, approve the Measures adopted by the Town of Boston. It cannot be conceived by you, on the Continent, what a Confusion the Suspension of Supplies to the Island would occasion. Insurrections among the Negroes must be the Inevitable Consequence. Hunger is, and ever will be, a Means to drive Men upon every practicable Means to appease its Gnawings. The Islands formerly raised Negro Provisions, such as Tams, Potatoes, and India Corn, nearly sufficient for each Plantation, and had from North America the Remainder, but the Grounds so appropriated have of late Years been constantly improved in Canes, as more profitable; and the Food brought from the Colonies being not only cheaper, but more solid and agreeable in Taste, the withdrawing in from the Slaves, now accustomed to it, would be sufficient to breed a Mutiny throughout the Estates. The Property of many of these Estates, improved by their A gents, and stocked with from 2 to 7 or 800 Negroes, residing in many of the leading Men in London, Bristol, and other capital Seaports, interest would render them your Advocates, rather than suffer such immense Fortunes to run to Ruin.

""In short, a suspension of Supplies would oblige the Planters to discontinue the Culture of Canes, and it could by no Means be speedily recovered. The Islands cannot subsist for any Time without Provisions from the Continent, and sew indeed of the inhabitants are there but already Groan with Apprehension that the dreaded Suspension may take Place.

""I should conceive a second Consideration would draw the Attention of those Gentlemen to the common Welfare, viz. the French King's Death, and the Measeres that Nation are taking in their Islands. It is not six Months since several Troops arrived at Martinico and Guadaloupes which are distributed in. Reinforcements to their Garrisons. A Continuance or Renewal of this Police has very lately taken Place. About eight Days ago a Brig landed 100 fresh Troops at Port Royal, and then proceeded to St. Domingo. The French say 900 more are on their Passage for same Place, in different Vessels. Their Artisans are all employed on Fortresses, adding and repairing; and many new Batteries and Redoubts are erecting in a Private Manner, even where no probable Service, by Prevention to Land, can be expected them. In their gasconading Way, they are very soon to conquer much of America, as well as these Island. War seems planning in Martinico, I hope no Where else in this critical Conjuncture. God only knows what would be the Event. Their several Preparations are unaccountable. I wish all Matters were reconciled led, to be in Readiness for what may happen""

At a Town Meeting on Tuesday last, the Methods proposed for employing such as are out of Business by the Operation of the Port Bill were approved. A circular Letter to the other Towns, relative to the lil forcating, our charter, was reported, and accepted by the Town. The Meeting stands adjourned to Tuesday the 9th of August.

By captain Lovett, arrived last week in this Town after a short Passage to Portsmouth from Antigua, we learn that the Merchants and Planners were in great Consternation there on reading the proposals of the Colonies for suspending their supplies of Lumber and provisions, which they agree much be ruinous to them; and in consequence, they have appropriated a Third of their Cane plantation for the culture of Indian Corn, Yams, Potatoes, &c. for the Maintenance of their Slaves , in Cafe the Suspension does take place. It is father said Antigua has sent home a Remonstrance on that Head, praying Great Britain either to open the port of Boston, and let them have provisions as usual, or furnish them with the absolute Necessaries of Life themselves; otherwise, they, their Sugar-planting must speedily come to an End, as they can neither support their Slaves , nor ship the Sugars home, for Want of casks. Notwithstanding the Distress in which they foresee they must be involved by our Discontinuance of Trade with them, they generously commend us for the Resolutions, acknowledging that in our circumstances any Measure we can hold on for Relief from the chains imposing upon us is fully justifiable.

A Cart Lord of new Pickaxe was seen putting into a store on the Long Wharf, last Saturday.— Query , what are we to apprehend from all these warlike preparations? is a Fort to be erected in good earnest, and the Town to be awed into submission by cannons and Mortars! Forbid it, Heaven! rather let it become a Heap, and be razed to its Foundation, than one mean concession be the Means of its Preservation!",mutiny of the enslaved inevitable in times when supplies are few
The Virginia Gazette,2,John Pinkney,"Williamsburg, Virginia",1775_03_16,"March 16, 1775",1775,intended insurrection,New York,unknown,"A negro plot has been lately
discovered at Esopus; two the
principals have been detected,
and confessed that their design
was to convey ammunition to
the Indians, and to set fire to
Esopus, Marbletown, and other
places.",plot near Esopus NY; plan to supply ammunition to Natives
The Virginia Gazette,3,Alexander Purdie,"Williamsburg, Virginia",1775_03_17,"March 17, 1775",1775,intended insurrection,New York,unknown,"A letter from said place names
Marbletown as well as the three
above mentioned, and that the
Negroes were to be divided
into parties, to fire the houses,
cry fire, and kill the people as
they came out. The motive for
this conspiracy was the
recovery of their freedom. A
large quantity of powder and
ball was found with several
negroes, and there are said to
be advices in town, that,
besides the two negroes be
mentioned, seventeen or
eighteen more have been
committed to jail.
A report has likewise been
current in town, for a day or
two past, that these negroes
were to be joined by five or six
hundred Indians, but it does not
appear that there is any good
foundation for the report.",
The Virginia Gazette,1,John Dixon and William Hunter,"Williamsburg, Virginia",1775_03_18,"March 18, 1775",1775,intended insurrection,New York,unknown,"NEW YORK, March 2.
WE have authentick advices, of
the 22d of last month, from
Ulster county, that on Saturday
night the 18th Mr. John
Schoonmaker, being in bed,
overheard the following
conversation between his
Negro York, and Negro named
Joe, belonging to Mr. Johannes
Schoonmaker, viz.
York. How many?—Joe. A
great many.—York. From
where?—Joe. From Keysereck,
Hurly, and Kingston.—York.
How much powder have they?
—Joe. Two pounds.—York.
That is not enough, they should
have more to go through with
it, and drums enough to prevent
hearing the cries. They will
begin, two at your house, two
at John De Puis, and in
proportion more at other
houses. It will be put in
execution between this and
Wednesday night; when once
begun, we must go through
with it. We are to set fire to the
houses, and stand by the doors
and windows to receive the
people as they come out.
The above (in substance) being
deposed before a magistrate,
the two Negroes were
committed to goal, and,
together with several other
Negroes, examined next day
before four magistrates, who
met for that purpose; but no
further discoveries could then
be made.
A letter from said place names
Marbletown as well as the three
above-mentioned, and that the
Negroes were to be divided
into parties, to fire the houses,
cry fire, and kill the people as
they came out. The motive for
this conspiracy was the
recovery of their freedom. A
large quantity of powder and
ball was found with several
Negroes, and there are said to
be advices in town, that,
besides the two Negroes before
mentioned, 17 or 18 more have
been committed to gaol.
A report has likewise been
current in town, for a day or
two past, that these Negroes
were to be joined by five to six
hundred Indians, but it does not
appear that there is any good
foundation for this report.",includes supposed conversation between two enslaved men regarding intended insurrection
The Virginia Gazette,3,Alexander Purdie,"Williamsburg, Virginia",1775_04_21,"April 21, 1775",1775,editorial ,"Williamsburg, Virginia",unknown,"My LORD,

WE his Majesty's dutiful and loyal subjects, the Mayor, Recorder, Aldermen, and Common Council of the city of Williamsburg, in common hall assembled, humbly beg leave to represent to your Excellency, that the inhabitants of this city were this morning exceedingly alarmed, by a report that a large quantity of gunpowder was, in the preceding night, while they were sleeping in their beds, removed from the publick magazine in this city, and conveyed under an escort of marines on board one of his Majesty's armed vessels lying at a ferry on James river.
We beg leave to represent to your Excellency, that as this magazine was erected at the publick expense of this colony, and appropriated to the safe keeping of such ammunition as should be there lodged form time to time for the protection and security of the country, by arming thereout such of the militia as might be necessary in cases of invasions and insurrections , they humbly conceive it to be the only proper repository to be resorted to in times of imminent danger.

We farther beg leave to inform your Excellency, that from various reports, at present prevailing in different parts of the country, we have too much reason to believe that some wicked and designing persons have instilled the most diabolical notions into the minds of our slaves , and that therefore the utmost attention to our internal security is become the more necessary.

The circumstances of this city, my Lord, we consider as peculiar and critical. The inhabitants, from the situation of the magazine, in the midst of their city, have for a long tract of time been exposed to all those dangers which have happened in many countries from explosions, and other accidents. They have, from time to time, thought it incumbent on them to guard the magazine. For their security, they have for some time past judged it necessary to keep strong patrols on foot: In their present circumstances, then, to have the chief and necessary means of their defence removed, cannot but be extremely alarming.

Considering ourselves as guardians of the city, we therefore humbly desire to be informed by your Excellency upon what motives, and for what particular purpose, the powder has been carried off in such a manner, and we earnestly entreat your Excellency to order it to be immediately returned to the magazine.",diabolical notions in slaves
The Virginia Gazette,3,Alexander Purdie,"Williamsburg, Virginia",1775_05_05,"May 5, 1775",1775,editorial ,"Williamsburg, Virginia",male,"VIRGINIA, to wit :

WHEREAS there is too much reason to suppose that some persons, in different parts of this colony, are disaffected to his Majesty's government, and by their weight and credit with the people are endeavouring to bring the country into such a situation as to afford them the fairest prospect of effecting a change in the form of it, covering their wicked designs under the specious appearance of defending their liberties, and have taken advantage of the unhappy ferment, which themselves have raised in the minds of their fellow subjects, in prosecution of their dangerous designs, to oppose the most undoubted prerogative of the King, which in a late instance I thought it expedient to exert, by removing on board his Majesty's ship the Powey a small quantity of gunpowder, belonging to his Majesty, from the magazine in this city: I have thought fit, by advice of his Majesty's Council, to issue this my proclamation, with a view of undeceiving the deluded, and of exposing to the unwary the destruction into which they may be precipitated, if they suffer themselves to be longer guided by such infatuated counsels.

Although I consider myself, under the authority of the crown, the only constitutional judge in what manner the munition, provided for the protection of the people of this government, it is to be disposed of for that end, yet, for effecting the salutary objects of this proclamation, and removing from the minds of his Majesty's subjects the groundless suspicions they have imbibed, I think proper to declare, that the apprehensions which seemed to prevail throughout this wholecountry, of an intended insurrection of the slaves , who had been seen in large numbers, in the night-time, about the magazine, and my knowledge of its being a very insecure depository, were my inducements to that measure; and I chose the night as the properest season, because I knew the temper of the times, and the misinterpretations of my design, which would be apt to prevail, if the thing should be known. Acting under these motives, I certainly rather deserved the thanks of the country than their reproaches. But, whenever the present ferment shall subside, and it shall become necessary to put arms into the hands of the militia, for the defence of the people, against a foreign enemy, or intestine insurgents, I shall be as ready, as on a late occasion, to exert my best abilities in the service of the country. In the meantime, as it is indispensably necessary to maintain order, and the authority of the laws, and thereby the dignity of his Majesty's government, I exhort and require, in his Majesty's name, all his faithful subjects, to leave expedient unessayed which may tend to that happy end. Such as are not to be influenced by the love of order, for its own sake, and the blessings it is always productive, of, would do well to consider the internal weakness of this colony, as well as the dangers to which it is exposed from a savage enemy; who, from the most recent advices I have received from the frontier inhabitants, are ready to renew their hostilities against the people of this country. But as, on the one hand, nothing can justify men, without proper authority, in a rapid recurrence to arms, nothing excuse resistance to the executive power in the due enforcement of law, so, on the other, nothing but such resistance, an outrageous proceedings, shall ever compel me to avail myself of any means that may carry the appearance of severity.

Anxious to restore peace and harmony to this distracted country, and to induce a firmer reliance on the goodness and tenderness of our most gracious sovereign, to all his subjects equally, and on the wisdom of his councils or a redress of their real grievances, which can only be obtained by loyal and constitutional applications, I again call upon and require all his majesty's liege subjects, and especially all Magistrates and other officers, both civil and military, to exert themselves in removing the discontents, and suppressing the spirit of faction, which prevail among the people; that a dutiful submission to the laws of the land may be strictly observed, which shall ever be the rule of my conduct, as the interest and happiness of this dominion ever have been, and shall continue to be, the objects of my administration.

Given under my hand, and the seal of the
colony, at Williamsburg, the 3 d day of
May, 1775, and in the 15 th year of his
Majesty's reign .

DUNMORE. GOD SAVE THE KING.","Dunmore, misinterpretations of a perceived intended insurrection of slaves, and defending himself; the drama around the removal of a powder magazine around Williamsburg"
The Virginia Gazette,1,John Dixon and William Hunter,"Williamsburg, Virginia",1775_05_06,"May 6, 1775",1775,editorial ,"Williamsburg, Virginia",male,"BY his EXCELLENCY the Right Hon . JOHN Earl of DUNMORE,
his Majesty's Lieutenant and Governor General of the Colony and
Dominion of VIRGINIA, and Vice Admiral of the same :

A PROCLAMATION.

VIRGINIA, to wit .

WHEREAS there is too much reason to suppose that some persons, in the different parts of this colony, are disaffected to his Majesty's government, and by their weight and credit with the people are endeavouring to bring the country into such a situation as to afford them the fairest prospect of effecting a change in the form of it, covering their wicked designs under the specious appearance of defending their liberties, and have taken advantage of the unhappy ferment, which themselves have raised in the minds of their fellow subjects, in prosecution of their dangerous designs to oppose the most undoubted prerogative of the King, which in a late instance I thought it expedient to exert by removing on board his Majesty's hip the Fowey, a small quantity of gunpowder, belonging to his Majesty, from the magazine in this city; I have thought fit, by advice of his Majesty's council, to issue this my proclamation, with a view of undeceiving the deluded, and of exposing to the unwary the destruction into which they may be precipitated, if they suffer themselves to be longer guided by such infatuated counsels.
Although I consider myself, under the authority of the crown, the only constitutional judge, in what manner the munitions, provided for the protection of the people of this government, is to be disposed of for that end; yet for effecting the salutary objects of this proclamation, and removing from the minds of his Majesty's subjects the groundless suspicions they have imbibed, I think proper to declare that the apprehensions which seemed to prevail throughout this whole country of an intended insurrection of the slaves , who had been seen in large numbers, in the night time, about the magazine, and my knowledge of its being a very insecure depositary, were my inducements to that measure, and I chose the night as the properest season, because I knew the temper of the times, and the misinterpretations of my design which would be apt to prevail if the thing should be known. Acting under these motives, I certainly rather deserved the thanks of the country than their reproaches. But, whenever the present ferment shall subside, and it shall become necessary to put arms into the hands of the militia, for the defence of the people against a foreign enemy or intestine insurgents, I shall be as ready as on a late occasion to exert my best abilities in the service of the country. In the mean time, as it is indispensably necessary to maintain order and the authority of the laws, and thereby the dignity of his Majesty's government, I exhort and require, in his Majesty's name, all his faithful subjects, to leave no expedient unessayed which may tend to that happy end. Such as are not to be influenced by the love of order for its own sake, and the blessings it is always productive of, would do well to consider the internal weakness of this colony, as well as the dangers to which it is exposed from a savage enemy; who, from the most recent advices I have received from the frontier inhabitants, are ready to renew their hostilities against the people of this country. But, as on the one hand, nothing can justify men, without proper authority, in a rapid recurrence to arms, nothing excuse resistance to the executive power in the due enforcement of law, so on the other, nothing but such resistance and outrageous proceedings shall ever compel me to avail myself of any means that may carry the appearance of severity.

Anxious to restore peace and harmony to this distracted country, and to induce a firmer reliance on the goodness and tenderness of our most gracious Sovereign to all his subjects equally, and on the wisdom of his councils for a redress of all their real grievances, which can only be obtained by loyal and constitutional applications, I again call upon the require all his Majesty's liege subjects, and especially all magistrates and other officers, both civil and military, to exert themselves in removing the discontents, and suppressing the spirit of faction, which prevail among the people, that a dutiful submission to the laws of the land may be strictly observed, which shall ever be the rule of my conduct, as the interest and happiness of this dominion ever have been, and shall continue to be, the objects of my administration.

GIVEN under my hand, and the seal of the colony, at Williamsburg,
this 3d day of May , 1775, and in the 15th year of his
Majesty's reign .

DUNMORE.

GOD SAVE THE KING.",Dunmore reprint of earlier letter
The Virginia Gazette,3,Alexander Purdie,"Williamsburg, Virginia",1775_06_16,"June 16, 1775",1775,editorial ,"Williamsburg, Virginia",male,"FROM the disposition which the enemies of this country have already shewn, there is but too much reason to suspect that the late proceedings in this colony will be represented in England in a light the most unfavourable to the people; and perhaps some actions may have been committed, which, to those who view them from a distance, and have not felt the provocations which led to them, may appear violent and unjustifiable. To enable mankind, therefore, to form a proper judgment of what has passed, a plain narrative of facts seems necessary, a narrative published upon the spot, where any falsehood may be contradicted, any errour or partiality corrected, and every measure supported by its true motives. Something of this kind has appeared to every one necessary, it has been looked for, but the general expectation has been disappointed; and it is to be feared, that our friends in other countries will interpret out silence into an inability to justify our conduct, whilst our enemies will triumph, in the supposition that we have at length quitted the paths of wisdom and of virtue. Such considerations as these have induced me to attempt what I wished to see from some abler hand; and probably my weak endeavours may be the means of rousing others, who are more capable, of doing justice to the subject.

The rise and progress of the present troubles in America are so well known, through most pasts of the world, and our resistance to arbitrary power so generally applauded, that I may well be excused from looking far backwards, and from vindicating the first steps of American opposition. Though Virginia most heartily concurred, and in many instance took the lead, in the virtuous struggles of the colonies, yet, till lately, she was free from those direful effects of ministerial tyranny which some other parts of the continent experienced. The first thing which particularly disturbed her tranquillity was a threatened insurrection of her negro slaves , in the beginning of the spring 1775. Whether this was general, or who were the instigators, remains as yet a secret. There was reason, however, to believe that most of the negroes were too well affected to their masters, and too apprehensive of the bad consequences, as well as suspicious of the friendship of our adversaries, to join in such a wicked scheme. From some hints, it was inferred that the negroes had not been without encouragement from a Gentleman of the Navy, who has distinguished himself lately in our rivers. Whatever the plot was, it was seasonably discovered, and effectual measures taken to suppress it. To the Northward, the storm seemed to thicken; every ship from England brought intelligence of some fresh instance of ministerial vengeance denounced against us; our hopes of peace and redress from that quarter declined daily; and we saw nothing before us but abject slavery , or the horrours of a civil war. We viewed the alternative with sorrow, but hesitated not a moment which to prefer. The Convention of March 1775 directed that the colony should be put into the best posture of defence, and that, whilst every step was taken to procure an honourable reconciliation, nothing should be omitted which could enable us, by the sword, to defend our just rights and privileges. In the third week of April, the country was again alarmed, by the Governour's removing in the night from the colony magazine, and putting on board his Majesty's schooner the Magdalen, Capt. Collins, fifteen barrels of gunpowder, nearly the whole which the magazine at that time contained; and it was also discovered, that he had spoiled several of the fire-arms of their locks. Upon the first intelligence of this action, many of the inhabitants of Williamsburg flew to their arms, and resolved in that way to demand reparation. No violence, however, was committed; they were persuaded to disperse, and the common hall addressed his Excellency. Their address set forth, that the magazine was erected at the publick expense of the colony, and appropriated to the safe-keeping of such munition as should be lodged there, for the protection and security of the country, to be used by the militia in case of invasions or insurrections , and that it was, therefore, the only proper repository to be resorted to in times of imminent danger; that, from various reports of internal insurrections , that utmost attention to their security was become necessary; and they therefore desired to know his motive for carrying off the powder in such a manner, and entreated him immediately to return it to the magazine. To this his Excellency replied, that the report of an insurrection in a neighbouring county had induced him to remove the powder from the magazine, where he did not think it safe, to a place of perfect security; that he would return it, when it was wanted on any insurrection ; that he had removed it in the night, to prevent any alarm; that he was surprised to hear the people were under arms on this occasion, and that should not think it prudent to put powder into their hands in such a situation. This answer gave no satisfaction: The people could not conceive how disarming them would discourage their negroes from rising, should they be so disposed; nor could they divine how he could procure the powder, upon any emergency, from a vessel whose station for one hour war uncertain. The magazine had never yet been attempted by the negroes; and, had this been apprehended, they thought it might easily have been secured by a guard. Upon the whole, they looked upon the Governour's answer as evasive and insulting; and the people were, with difficulty, kept within the bounds of moderation.","likely authored by Alexander Purdie, the contemporary owner of the gazette; references the threatened insurrections of slaves in Virginia"
The Virginia Gazette,3,Alexander Purdie,"Williamsburg, Virginia",1775_06_23,"June 23, 1775",1775,editorial ,"Williamsburg, Virginia",male,"The Address of the HOUSE of BURGESSES.

My Lord ,

WE his Majesty's most dutiful and loyal subjects, the Burgesses of Virginia, beg leave to inform your Lordship, that the publick magazine is now repaired, and in fit condition for the reception of arms and ammunition.

We therefore request your Lordship will be pleased to order the powder, lately removed from thence, to be returned, agreeable to your Lordship's promise, continued in your written message to this House. We farther beg leave to inform you Lordship, that it appears to the House, form the report of their committee appointed to inspect the publick magazine, that there are no arms therein sit for service. At this critical time, my Lord, when your Excellency assures us of the great probability of an Indian invasion, at a time too when an insurrection of our slaves may be encouraged, merely from a notoriety of a total deficiency in our publick stores of arms and ammunition, it is a duty we owe to our country and ourselves to remind your Lordship, that the legislature of this colony have long since made ample provision for the purchase of arms and ammunition, and established a competent fund for that purpose, by granting to his Majesty one shilling and three pence sterling upon the tunnage of all vessels trading to this country. This fund, my Lord, had, for several years last past, exceeded three thousand pounds sterling per annum; and our predecessors, in former Assemblies, trusting that government would always make a necessary and adequate provision in a matter so essential to the immediate and future preservation of this colony, have not interfered in this business. But, my Lord, this House, finding a total inattention in government to his important provision, although it must have appeared essential more than twelve months ago, and still observing that no means are pursued to supply a deficiency so alarming, now conceive it to be their duty, not only to represent this grievance to your Lordship, but also to request that you will be pleased to order that two thousand stand of arms, five tuns of powder, and twenty tuns of lead, at least, with a sufficient quantity of other military stores, be immediately provided for the defence of this colony, in case of any invasion or insurrection , and that the same be lodged in the publick magazine. In case the fund afore-mentioned shall prove deficient, this House assure your Lordship, that they will make such farther or other provision as may be necessary to enable your Lordship to comply with this request.","House of Burgesses address, mentions Indian invasion and a time when an insurrection of slaves could be encouraged"
The Virginia Gazette,1,John Dixon and William Hunter,"Williamsburg, Virginia",1775_07_01,"July 1, 1775",1775,shipboard resistance,Senegal,unknown,"By a letter from Senegal there is advice, that a ship supposed to be bound for the West Indies, with a number of slaves on board, blew up not far from that place, supposed to be maliciously set on fire by the black people, whereby the ship, cargo, and all the crew, were lost, except four slaves, who were taken up at sea as they were making for shore, but from whom no confession could be extorted.","shipboard resistance? Indicates possibly that Africans and enslaved people may have coordinated an attack - however, there is no clear inference "
