newspaper,newspaper_ID_histCommons,printer,date,written_date,year,text,notes,written_date,resistance_tag
The South Carolina Gazette,NA,Elizabeth Timothy,1739_11_24,"November 24, 1739",1739,"CHARLES-TOWN,
November 24.
We hear from London, that
Captain Richard Symonds late
Commander of his Majesty's
Sloop the Shark, is appointed
Commander of a Man of War
of Fifty Guns.
We hear also that the Viceroy
of Peru is revolted against the
King of Spain, in Hopes of
being supported by some
European Power in his
Rebellion: And that several
more Men of War will be sent
to the Coast of Africa, to
protect our Trade there.",discusses the Viceroy of Peru revolting against the King of Spain and sending ships to the African coast to protect the slave trade,"November 24, 1739",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1740_02_09,"February  9, 1740",1740,"The Remainder of our
last.
THE Letter Writer proceeds to
tell us, that he is surprized, this
Doctrine of Original Sin should
begin to be exploded, when a
publick Representation of
Persons is the general Principle
upon which the World now acts
in all national Affairs, and from
whence alone the Justice of
them must in his Opinion
emerge. If the Letter-Writer had
been something more large on
this Head, his Meaning would
in my Opinion have been
clearer, and the Justice and
Inconclusiveness of his
Reasoning would have much
more plainly appeared.
However, what I take to be his
Meaning, is this, that the
Doctrine of Original Sin may
be justified; if we suppose
Adam to be our publick
Representative, and that 'tis
surprizing the Doctrine of a
publick Representative should
be called in Question, when we
admit and allow of it by our
Practice in sending Persons to
represent us in our Parliaments,
and Assemblies. This, or
something like it, is what I take
it the Letter Writer meant,
when he tells us, a publick
Representation of Persons is
the general Principle upon
which the World now acts, in
national Affairs. So that he
supposes, the Persons we send
to Parliament or Assembly, to
represent us as Adam did his
Posterity, that their publick
Acts are our publick Acts, & if
they do amiss, as our
Representatives, that their Sin
must be our Sin, otherwise the
Cases will not be at all parallel.
Now, admitting all the Letter
Writer pleads for that the
Persons we send to Parliament
or Assembly, do so represent
us, as that their publick Acts
are Ours, and whenever they do
amiss, as our Representatives,
their Sin is our Sin; yet will not
any Advantage accrue thereby
to the Doctrine of Original Sin;
because these Representatives
are chosen by ourselves to act
for us. Now I may easily
conceive the Reasonableness of
ascribing the publick Acts of
such Persons, to a whole
Nation or People, as they
themselves chose and
appointed to represent them in
temporal Matters, as supposing
such a Representation might be
very much for their Advantage,
and still not perceive the
Agreeableness of a quite
different Case to the Goodness
of God, namely, that he should
appoint Adam to be the publick
Representative of all his
Posterity, when their eternal
State was concerned without
their Consent, when He knew
that his constituting him such a
publick Representative would
not at all advantage one single
Person, but issue in the certain
Damage of all Mankind; it
making them all come into the
World Children of Wrath, and
Heirs of Hell, and exposing
Millions of innocent Infants, if
they die in that sinless State, to
unavoidable Damnation. So
that we may safely enough
allow such a publick
Representation of Persons, as
the Letter Writer says is the
general Principle upon which
the World now acts, in national
Affairs, and from whence the
Justice of them must, in his
Opinion, emerge; and yet the
Doctrine of Original Sin may
notwithstanding be with Justice
exploded. The Letter Writer, if
he pleased might have put a
more exact Parallel; which
since he has not done, I will do
it for him. Suppose a King
should, by his own arbitrary
Will, resolve that one Person
should be made a publick
Representative of all his
Subjects, so that all his Acts
should be their Acts, and his
Sin should be their Sin, and
they should hold their Lives
and Estates, or forfeit them,
according as he was either
obedient or disobedient to the
Laws; and lastly, if he should
not allow them to choose
whom they would to be their
Representative, but without
their Consent would impose
one on them who he knew
would forfeit all their Lives and
Fortunes would the Letter-
Writer justify such an
unreasonable Procedure? If he
can reconcile this to Wisdom (I
say not Cunning and Craft but
true Wisdom) Justice, and
Goodness, then may he hope
that the Doctrine of Original
Sin will no longer be exploded,
but re enter amongst the
gracious and glorious Doctrines
of the Gospel.
But when the Letter Writer
seems to suppose that the
Persons we send to Parliament,
or Assembly; do so represent us
as that their publick Acts are
our Acts, and that whenever the
do amiss, as our
Representatives, their Sin is our
Sin, this Thing, which he so
easily takes for granted, is
wholly unreasonable. For altho'
the Persons, we send thither,
are authorized by us to act for
us, and in our Behalf, and to
make good and wholesome
Laws, such as may be of
Advantage to their Country:
Yet, if they contrary to the good
Design and Intent of their
Constituents, abuse their
Authority, and make evil and
wicked Laws, such as are
contrary to the Interest, and
subversive of their Country's
Liberty, and such as are highly
disapproved of by the wisest,
and best Persons in the
Community, all Persons of
good Sense will ascribe those
Evil Acts to such Parliament
and Assembly, but acquit the
People. They will say that the
Parliament or Assembly were
wicked, and that the People
were injured and oppressed, but
entirely innocent. The Schism
Bill, which was passed in
Parliament in the latter End of
Queen Anne's Reign, was it by
Act not only of the Parliament
but of the whole English
Nation, even of the Dissenters
themselves? If so they were a
very unreasonable People to
pass such a Bill in the House,
and one of Doors to complain
against what was their own Act
and Deed. The People's
Representatives in Parliament
are not, nor can be esteemed
the whole Body of the People,
there is no such Magic in the
Name and Title of
Representatives as will make
them such; they are a part of
the Legislature rather than of
the People; and tho' they should
be the most friendly part of the
Legislature to the People,
because 'tis to them they owe
their Power, yet 'tis frequently
otherwise, they often do Things
contrary both to the Intent and
Minds of those that created
them, and in such Case, the
People ought not to be charged
with their Crimes. As the
Legislature ought not to bear
the Sins of a rebellious People,
so should not an innocent
People be saddled with the Sins
of the Legislature.
And now I should be very
much obliged to the Letter
Writer, if he would be pleased
to prove, either from Scripture
or Reason, that God entered
into a Covenant with Adam, not
only for himself, but for all his
Posterity, that he standing they
should all stand, and he falling
they should all unavoidably be
exposed to everlasting
Burnings; and show me how
this Hypothesis is reconcileable
to the Perfections of the Deity,
his Wisdom, Justice, and
Goodness; and that the
Supposition, that we are made
Sinners for Adam's
Transgression only, agrees with
these Propositions; No one is a
Sinner for what was done
before he was born. No one is
guilty of Sin for doing what he
could not but do, or for being
what he could not but be. And
lastly, that no one can be guilty
of Sin before he is capable of
knowing or receiving a Law, or
distinguishing Good from Evil;
which are evident Maxims and
first Principles of Reason. If the
Letter Writer will give me an
Answer to this Request; altho'
at present I conceive the
Doctrine of Original Sin to be,
not a Doctrine, above, but
below Reason; not a Doctrine
which I cannot understand, but
which I do comprehend, and
think dishonourable to God,
and unworthy a wise Man to
receive. Yet will I upon a
rational Conviction of my
Mistake, alter my Sentiments,
and love and honour that Man
who shall be instrumental in
my Conversion to Mr.
Whitefield's and the Letter
Writer's Creed and System.
ARMINIUS","an editorial piece by an ""Arminius"" on the doctrine of original sin and governmental representation - mentions the sinces of rebellious people","February  9, 1740",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1740_09_13,"September 13, 1740",1740,"Advices from Spain say, the
Subjects of that Kingdom are
so greatly dissatisfied at the
War with Great-Britain, that
there has been an Insurrection
in that Kingdom.",extract of news from London which mentions that there was an insurrection in the Spanish Kingdom due to dissatisfaction with the conflicts between Britain and Spain,"September 13, 1740",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1740_12_11,"December 11, 1740",1740,"ISPAHAN, March 2.
IT was not till last Month that
Thamas Kouli-Kan arrived here
from his Expedition against
Machmet Cach, Emperor of the
Moguls. The Treaty he
concluded with that Prince is
just published. In that Treaty
the Great Mogul gives to
Kouli-Kan the Title of Schach
Nadir, King of Kings, King of
Time, the Refuge of the
Mahometans, Pattern of
Conquerors, Successor and
Imitator of Alexander. The Rest
runs thus.
""The Great Schach Nadir
having sent me an Embassador
to treat about some Affairs, I
did all that lay in my Power to
dispatch him as soon as
possible. The Schach would not
have been obliged to send back
to me Mahomet Kamtour Kan,
had it not been for the
Negligence of my Ministers,
who always delay'd giving an
Answer and retarded the
Embassador, rather chusing to
embroil us and sow Discord
between our two States than do
what I order'd them. This was
the Cause that Schach Nadir,
impatient at not seeing his
Embassador's Return, resolved
to come into my Dominions.
We fought; Victory leaned to
his Side, and Fortune favoured
him so far as to make him
Master of my Empire. He
entered Delly, of which he also
made himself Master; he
secur'd my Person and took all
my Jewels, and moreover
obliged me lay before him an
Estimate of my Revenues. But
Schach Nadir having promised
to set him again upon the
Throne, I declare him lawful
and sovereign Master of all the
Territories lying to the West of
the Country of Noudbeck, the
Sea of Snide, the River
Sangoro, Chaour, the District of
Caboul, the Mountains of
Pattan and Jat, the Fortress of
Yexel, Condabat, and all that
depends on Patta and Tatta,
reserving for myself the whole
Empire of Indostan. This
Cession includes the whole
Country lying between
Candahar and the River Indus.""
(Here they give us an Account
of the Booty made in the Indies
by the Persian Monarch,
whereby it appears that the
whole amounted to
126,036,363l. Sterling.)
The Schach also imposed an
annual Tribute on the Mogul of
75 Millions of Livres, or
3,400,000l. Sterling, and fixed
the Sum of 110 Millions of
Livres for the Support and
Charges of the Mogul Court.
The bad Government of the
Mogul's Empire occasion'd this
sudden Revolution, of which
we have hardly an Example in
History. The People groaned
under the Oppression of the
Grandees. Machmet Chach, a
Prince little better than an
Ideot, and wholly taken up with
his Pleasures, left the
Management of the Empire to
Candorem and Camordikan, his
two Favourites, who minded
nothing but scraping up Riches.
The State was without Troops,
because the Generals charged
to maintain them put the Sams
destin'd for that Use into their
own Pockets. Rebels from the
Coast of Malabar and
Coromandel used to advance in
a Body even into Indostan,
where the little Resistance they
met with shew'd how easy it
would be to invade that
Empire. While Kouli-Kan was
extending his Conquests in it
with an Army of 80,000 Horse
and 20,000 Foot well
disciplin'd and us'd to War,
besides 250 Pieces of Cannon,
Machmet Chach was at Delly,
where he thought himself very
safe, thinking he had done
enough in raising an Army of
200,000 Horse and 500,000
Foot, with 5000 Elephants
equipp'd for Battle, and 8000
Pieces of Cannon; but the
Difference was, that the
Mogul's Army was raised in
Haste, and wanted all sorts of
Necessaries. The Battle of the
22d of February 1739, in which
100,000 Men and Part of the
Emperor's Family lost their
Lives, decided the Fate of that
Prince, and secur'd the Empire
to Kouli Kan, who restor'd it
upon the Conditions above-
mentioned. Kouli Kan, during
his Stay at Delly, coined some
Money in this Name, with this
Inscription: Schach Nadir is
born to be King of the World;
he is the King of Kings. ----
This short History furnishes
Posterity with an indelible
Momento: We see here a fine
Kingdom lost, and the
prodigious Wealth of one of the
most opulent Cities perhaps in
the World, the Effects of Trade
and the Industry of the
Inhabitants, the Property of
innumerable Families, become
an easy Prey to a foreign
Invader, and the Plunder of his
conquering Troops, merely
thro' the Easiness of the Prince
and the Avarice of his
Ministers, whose blundering
Conduct, and Incapacities for
the Reins of Government, were
the principal Motives that
invited the Conqueror to the
Invasions. On the View hereof,
whether Pity for the unhappy
Sufferers, or Indignation at the
Authors of so dreadful
Calamities, should have the
Ascendant in the generous
Breast, we will not say; but
certainly after so remarkable an
Example, that Prince or People,
who shall suffer themselves by
the same Causes to be exposed
to the like Circumstances,
justly deserve to meet with the
Fate of the Mogul, the
Kingdom of Indostan and City
of Delly.",on the Mogul empire,"December 11, 1740",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1741_01_22,"January 22, 1741",1741,"From the Weekly Miscellany,
publish'd by
Richard Hooker, Esq;
As the Methodists still continue
their Meetings both in London
and in other Parts of the
Kingdom, the following
Passage may be of good Use in
order to apprize well measuring
People of the real Intention of
these Enthusiasts
Mr. Hooker, Yorkshire
YOU have, no doubt on't, seen
an Account in the publick
Prints of the Riot we had in this
County. It took its Rise at
Dewsbury, where Mr Ingham
had propagated Methodism
Some will have him to be the
Author of this Insurrection, by
preaching up, as he certainly
did, a Community of Goods, as
was practic'd by the Primitive
Christians How much he may
have contributed towards
rasing the Mob, I will not
pretend to say; but what I am
going to tell you of this
Clergyman is Matter of Fact; I
can prove it, and you may
make what Use of it, you think
proper. A Gentleman of Leeds
who was one of Mr. Ingham's
Followers, ask'd him, what
Difference there was between
the Church of England, and his
Way of Worship? To which Mr.
Ingham replied, 'The Church of
England is the Scarlet Whore,
prophesied of in the
Revelations; and there will be
no true Christianity as long as
that Church subsists.
Your humble Servant.
Mr. Timothy","from Mr. Timothy, on methodism and christianity and notes an author of insurrection","January 22, 1741",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1741_07_02,"July  2, 1741",1741,"Berlin, March 11. Since the
King's Retun from Silesia it
was perceiv'd that several
Persons, who had introduced
themselves into the Army under
divers Pretexts, narrowly
observed all his Majesty
Actions and Steps. And as these
Persons were almost always in
the King's Quarters and as it
was remark'd they endeavoured
to mix with his Retinue, they
began to be suspected. To come
at the Truth, a resolution was
taken to arrest some of them,
who were strictly examin'd
Their prevaricating Answers
confirm'd the Suspicions
already entretain'd. Several
other Persons, who seem'd to
be of the same Gang, were also
taken up: Their Answers
compared with what the others
had said, shew'd that there was
a dangerous Plot on the Anvil.
Four of them confess'd at last
that they came to the Army
with no other Design but to
watch an Opportunity to carry
off the King; and that there was
30 or 40 engag'd in this Plot.
Another who is thought to be
their Chief, hoping to obtain
Pardon by discovering the
Whole of this company,
declar'd that the Enterprize
against the King's Person was
to be executed by all practical
Methods, with any Regard to
Extremities. As none but the
basest Villians are capable of
undertaking such
Commissions, and as People
cannot be too much upon their
Guard with Respect to the
Credit to be given to what they
say, we are far from being
inclined to believe implicitly
what the latter has laid to the
Charge of a certain
neighbouring Court, and
particularly of a Person of the
highest Rank. General Brown
with two other Officers are
nam'd in the Depositions of
these Fellows. The Chief of
them expected a considerable
Reward if he could deliver up
the King; nay, he expected the
same Reward, provided the
Design was executed at any
Rate.
Vienna, March 25 The Court
has receiv'd a Courier from
Colloredo, with Advice that the
Elector of Cologn has
acknowledg'd her Majesty for
lawful Queen of Hungary and
Bohemia, reserving
nevertheless the Rights of his
House, as we are assur'd.
The Duke D'Uzede, who has
been condemn'd to suffer
Death, but pardon'd by the
Queen, was carried last
Saturday from Neustadt to the
Castle of Gratz in Stiria, where
he is remain the rest of his Life:
His Crime was carrying on a
Plot for the Crown of Spain
against this Court. All his
Effects are to be sold",a dangerous plot; Berlin and Vienna,"July  2, 1741",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1741_07_09,"July  9, 1741",1741,"Berlin, April 4 The King has
resolv'd to send hither the
Persons concerned in the
Conspiracy against him in
Silesia; and it is even said that
the Foreign Ministers will be
invited to be present at their
Examination.",on conspiracy against the King when he was in Silesia,"July  9, 1741",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1741_09_26,"September 26, 1741",1741,"From Gibraltar we hear, that a
Conspiracy had been
discovered there to take the
Town by Stratagem; and that
four of the principal Persons
concern'd therein, one whereof
was a Spaniard, another a
Portuguese, and two Genoese,
had been taken and put in lrons
The Design was to bring a
sufficient Number of Spanish.
Forces conceal'd on board
several Vessels laden with
Provisions, from the Barbary
Coast, who, under the Direction
of the four Captives, that were
well acquainted with the
Fortifications of the Town,
were in the Night to have
surpriz'd the Garrison, and
make themselves Masters of
the Fortress.",on a conspiracy that was discovered,"September 26, 1741",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1741_10_10,"October 10, 1741",1741,"New York, August 3 On
Wednesday last one John [ ], a
Romish Priest was tried for
being concerned in the late
Conspiracy, and after a Trial of
nine Hours was capitally
convicted thereof, and is this
Week to receive his Sentence",conspiracy,"October 10, 1741",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1742_04_24,"April 24, 1742",1742,"Yesterday arrived a Mail
from Holland; with the
following Advices of a
Great and sudden
Revolution in the
Governments of the
Muscovite Empire.
HAGUE, December 25.
ON the twenty third Instant
in the Evening an Express
arrived here from
Petersburg, to the Count de
Goloskin, and deliver'd him a
Packet of Letters, dated the
sixth of this Inst. in which
was a formal Order under the
Great Seal, directed to the
said Ambassador, to inform
their High Mightinesses,
""That the States of the
Russias, the Senate, the
Synod, and the other
principal Orders, could bear
no longer to let the Supreme
Authority remain in the
Hands of those, who, by a
long Series of Acts of
Violence, one after another,
had usurp'd it ever since the
Death of the Emperor Peter I.
the Ministers to whom that
Prince had committed the
Execution of his last Will, not
having perform'd it: That in
order to put a Stop to these
Usurpations, and to restore
the Crown to the Lawful Heir
they had unanimously
declar'd the Princess
Elizabeth, Daughter of the
said Emperor, to be their
Sovereign, Sole Monarch, and
Empress: And that her
Imperial Majesty at the same
time gave the strongest
Assurances, that she would
not fail to cultivate that
perfect good Understanding
with this State, which has
subsisted between her
Predecessors and this
Republick; and upon all
Occasions to give it Proofs of
her Affection.""
This Order was sign'd
ELIZABETH.
In pursuance hereof the
Count Goloskin went the
same Night to the Pensionary
Vander Hein, and then to the
Gressier Fagel, to notify the
same to both those Ministers.
His Excellency has received
no other News or Letter
whatsoever, so that we know
not what Changes have been
made in the Ministry, nor
indeed any one Thing that
has been transacted in this
Revolution. All that is given
out is, that the Prince
Nariskin, who is in a sort of
Exile, and now at Paris, will
shortly return to
Petersbourgh; and 'tis
thought the new Empress will
soon declare her Marriage.
Mean time 'tis conjectur'd,
that this Revolution, and the
Resolution the King of
Sardinia has now taken in
favour of the King of Spain
will hasten a general Peace.
In the Count de Goloskin's
Packet came the following
Piece, viz.
The Manifesto of the
Empress Elisabeth, Sovereign
of all the Russia's.
""We Elizabeth I. Empress
and Sovereign of all the
Russias, &c. make known to
all and every one by these
Presents.""
""All the World knows that in
Consequence of the Letters
Parents issued the 16th of
October, 1740, the late Grand
Lady Empress Anne
Joannowna appointed, before
her Decease, her Nephew to
succeed to the Throne of
Russia, who was then but a
few Months old: But,
whereas, on Occasion of his
Minority several Persons
have managed the Affairs of
this Empire in so unbecoming
a Manner that many Troubles
and Inconveniences have
ensued thereby, as well as
home as abroad, and might
have been follow'd by still
greater Mischiefs; our
faithful Subjects, the
Spiritual and Temporal
Estates, and in particular our
Regiments of Guards, have
unanimously invited us to
ascend the Throne of our
Fathers, which by Right
belongs to us as the nearest
Heiress by our Birth, and
thereby to prevent all the
future Troubles that are to be
apprehended: In
Consequence of this
Invitation, and by Vertue of
the Right of Succession,
which belongs to us, and
which we derive from our
most dear Father and
Mother, the Emperor Peter
the Great, and the Great
Lady and Empress Catharine
Alexewna, as likewise to
condescend to the unanimous
Wishes of our faithful
Subjects, we have most
graciously accepted the
paternal Crown and the
Empire of all the Russias, as
will be more amply set forth
in another Manifesto. In the
mean time we have been
pleased to impart this Event
to our faithful Subjects, that
they may in Consequence
thereof take the Oaths of
Allegiance to us.""
Done at Petersburgh, Dec. 6,
1741.
The above extraordinary and
most important Event is
confirm'd from Berlin and
from Hamburgh, with this
additional Circumstance, that
there was an Insurrection
amongst the Populace, who
being supported by the three
Regiments of Guards, the
Dutchess Regent immediately
abdicated the Regency, &c.
But we must wait for the
Particulars of this great
Revolution","On Muscovite revolution, mentions insurrection","April 24, 1742",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1742_06_21,"June 21, 1742",1742,"Vienna, February 28. There is
no other News from Bavaria,
except that Count
Khevenhuller has made a
Detachment of Four
Regiments of Foot and Two of
Horse, to reinforce Prince
Charles and Prince
Lobkowitz, in order to enable
them to put a Stop to the
King of Prussia's Progress in
Moravia and Lower Austria.
M. Polastion, with the 3000
French under his Command,
is refitted out of Moravia to
join Marshal Broglio. This
Court has now in its Service,
of the Hungarian
Insurrection, six Regiments
of Infantry, amounting to
18,000 Men, Four of Cavalry
4000, Portalists 2000, Nobility
10000, Three old Regiments
of Hungarians 9000, Eight
Regiments of Hussars 8000,
Croats of Waradin 8000, ditto
of Carlstadt 9000,
Sclavonians 3000, Pandours,
Rascians, &c. 3000, in all
74,000",hungarian insurrection,"June 21, 1742",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1742_10_18,"October 18, 1742",1742,"THE Court of Russia,
not only refuses to treat
with Sweden, by the
Mediation of France, but
told the Marquis de la
Chetardie, the French
Ambassador, that the
Mediation of his Court
was neither necessary
nor proper, nor desired.
Nor can it be wondered that
this Answer was given him, if
what is related is true, that a
Conspiracy had been
discovered, which had been
formed by him against the
Czarina, for which 100
Persons have been seized.
However, Sweden appears
now more desirous of Peace
than to prosecute War, a
favourable Reception has
been given to the new
Proposals which she has
made. The Swedish Garrison
at Fredericksham, after
setting Fire, having left it in
Flames, the Russian Hussars
entered the Town on the 19th
Instant, and extinguished
them.
Price Charles of Lorrain has
his Head Quarters at
Konigshal, nor far from
Prague, and having received
his heavy Artillery and a
Reinforcement from Moravia
of 16000 Men, under General
Festituz, is preparing to
attack the French Troops,
which the Loss of 6000 in
their late precipitate Retreat,
has reduced, notwithstanding
their late Supplies, to 15000
Men, who altogether with the
Garrison, are reduced to
great Distress, having been
obliged to kill their Horses
for Food. Marshal Broglio
has forbidden the Burghers
of Prague to go out of the
City under Pain of Death,
and caused Piles of Faggots to
be raised in the Streets, in
orded to set Fire to them in
Case they make the least
Resistance. In this Miserable
Condition Broglio sent
positive Orders to the Duke
d'Harcourt in Bavaria, to
march immediately into
Bohemia with all his Forces.
But as such a precipitate
March, with Count
Khevenhuller at his Rear,
must inevitably ruin the
Army; and as he could only
join Broglio by defeating the
Austrians, he resolved to
continue where he was. Their
next Recourse was to
Negotiation, in which
Marshal Belle-Isle offered
Felt Marshal Konigsegg, to
deliver up Prague to the
Austrians, provided the
French Garrison were
allowed to march out with
their Arms, Baggage, and all
the Honours of War, and to
join the rest of the Army,
which would immediately
evacuate Bohemia. But
Konigsegg insisted that the
Garrison should surrender
Prisoners of War. Since
Prince Charles of Lorrain has
received his Artillery and
Reinforcements, he has
absolutely refused any
Capitulation either to the
Garrison or to the Army.
It appears now that the
French Army is left alone to
withstand the Fury of the
exasperated Austrians. For
the King of Prussia having
had a Copy of Marshal
Broglio's Dispatches of the
fourth of May sent to him,
the Treachery of France was
visible enough, but his
Majesty did not think it
possible. Those Dispatches
inform'd Marshal Broglio of
a Reinforcement of 5000 Men
sending him by his Court.
They likewise contain'd
Instructions for regulating
the Conduct of that General,
and of the Use he was to
make of his Forces. By the 1st
Instruction the Court
expressly forbids him to mix
his Troops with those of his
Prussian Majesty. The 2d
directs him to spare his Army
as much as he could, and to
act always in a different
Quarter from the Prussians.
The 3d orders him to always
preserve a Body of 20 or
25000 of the best Troops in
order to cover and observe
the Prussian Army, as well in
a Siege, as in a general
Action. By the 4th, he is
directed to employ his Body
in closely examining into the
Conduct of that Prince, and
the Steps and Motions of his
Army, for Causes and
Reasons of great Importance.
By the 5th he is order'd to
hazard nothing, under
Pretence that neither the
French Reinforcement was
yet arrived at the Army, nor
the Marshal de Belle-Isle,
who only had Orders from
his Most Christian Majesty to
command with the King of
Prussia.
His Prussian Majesty at that
Time gave no Heed to these
salutary Warnings, beleiving
them to come from the
Enemy's Quarter; and
instead of withdrawing from
his Camp, as he ought to have
done, on the Contrary he
gave Prince d'Anhalt Orders
to hasten his March, in order
to join him in his Came of
Czaslaw; where Marshal
Broglio was, according to his
Promise, to come with his
army in two Days, but who
never came.
The King of Prussia having
four Days after been alone
obliged to sustain the Battle
of Czaslaw, at which he lost
13000 effective Men, he
discover'd, tho' too late, that
France was deceiving him,
and that his Army was
certainly to be sacrificed.
The Inhabitants of the
Dutchy of Cleves being
apprehensive of the French,
the King of Prussia is
forming there a Body of
30,000 Men, for their
Protection, that Monarch
does not omit to cultivate the
Commerce of his new
Subjects in Silesia, having
settled two great Fairs, which
he ordered to be published in
the London Gazette for the
Merchants of Great Britain to
frequent them.
The Preliminary Articles of
Peace are settled between
their Hungarian and Polish
Majesties; whereby the
Queen of Hungary cedes to
the King of Poland some
Districts in Bohemia, and the
King guarantees to the Queen
the rest of Bohemia, and all
her other Dominions,
promises to accede to the
Treaty of Breslaw, within a
certain Term, and engages to
assist her with 22,000 Men
when required. The Saxen
Troops has retired from
Bohemia the 28th past.
Her Hungarian Majesty in
her Letters to her Ministers
at foreign Courts to acqaint
them with the Treaty of
Breslaw, expresses herself in
this Manner, ""I only
consented to this Peace and to
the Sacrifice which I made of
Silesia, for the good of the
Empire, and to be in a
Condition so to drive out its
Enemies and mine. I flatter
myself the Empire will
acknowledge this Sacrifice in
a proper Manner, and assist
me with all its Forces to
procure me an Equivalent for
the Loss I have sustain'd, and
counterbalance the Prejudice
which the Equilibrium might
suffer from it.""
The Emperor has received
little Satisfaction from the
Diet of the Empire at
Frankfort. Every Prince and
Circle have some Grievance
to complain of, of which the
Redress is expected before
any Aid is granted to his
Majesty. It is particularly
required by them, that their
Territories be freed from the
French Troops, and that the
Inhabitants be indemnified
from the Damage which they
have sustain'd by them.
The French have resolved to
raise 50000 Militia, of which
Part is to assist the Count de
Glimes, Commander of the
Spanish Troops in Provence,
who have received express
Orders to penetrate tho'
Piemont into Italy.
The Citaded of Moderna
having surrendered, and the
Garrison of 3000 Men made
Prisoners on the 14th past,
will with the City belong
henceforth to the King of
Sardinia; and Mirandola
which surrendered the 11th
Instant, to the Queen of
Hungary.
The Conclusion in our next.",russian unrest/conspiracy,"October 18, 1742",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1742_10_25,"October 25, 1742",1742,"July 22. Some private Letters
from Paris speak of
dangerous Insurrection in the
Sevennes, and that the Duke
de Richelieu was sent to quell
it",dangers of insurrection in France,"October 25, 1742",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1742_11_01,"November  1, 1742",1742,"Yesterday came Advice that a
Swedish Officer, who was
going to execute a
Commission at the Court of
France, was seiz'd at
Dantzick, with all his Papers,
some of which, it's said, relate
to the Conspiracy in Russia",conspiracy in russia,"November  1, 1742",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1743_05_02,"May  2, 1743",1743,"From Corsica, That a Genose
Major having exacted the Taxes
by Fire and Sword, was put To
Flight, and a general
Insurrection was apprehended.",Corsica insurrection; does use passive voice,"May  2, 1743",nonslave
The South Carolina Gazette,NA,Elizabeth Timothy,1743_05_23,"May 23, 1743",1743,"To this Letter they add a
List of their Forces, as
follows.
This early Submission, even
before a Summons could be
sent, appears highly
satisfactory to this Court, as it
may send to preserve Peace on
that Side
General Teracanow writes, that
Satisfaction having been given
to Sarah Thamas by
Imprisoning our Commandant
at [ ] , for assisting some
rebellious Persians, that Prince
has withdrawn his Army to
Derbent – The Peterbourg
Gazette adds, that this Prince
knows his Strength too well to
measure it with that of Russia.","describes ""rebellious persians""","May 23, 1743",nonslave
