Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name, resistance label,Date,latitude,longitude
1763,36268,,"Rhode Island, port unspecified","Africa, port unspecified",Charleston,,Larsher,,1763-01-01,#N/A,#N/A
1763,90942,Sea Horse,Liverpool,Cape Mount (Cape Grand Mount),Charleston,130,"Glover, Elias",,1763-01-01,6.70407,-11.30905
1763,91007,Upton,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,370,"Maxwell, Hugh",,1763-01-01,-8.83833,13.23444
1763,91008,Charles,Liverpool,Sierra Leone estuary,Charleston,187,"Davies, John",,1763-01-01,6.49613,-13.17066
1763,17529,Juba,Bristol,Bonny,Charleston,127,"Penhale, William",,1763-01-01,4.43333,7.16667
1763,77236,Woodmanstone,London,Gambia,Charleston,73,"Miller, Joseph",,1763-01-01,13.45306,-16.5775
1764,26026,Prince of Wales,,"Africa, port unspecified",Charleston,,,,1764-01-01,#N/A,#N/A
1764,24583,Antelope,Lancaster,"Africa, port unspecified",Charleston,,Paley,,1764-01-01,#N/A,#N/A
1764,24590,Sally,,Saint-Louis,Charleston,,Clarke,,1764-01-01,16.12,-16.5
1764,25070,Lyon,Boston,Cape Coast Castle,Charleston,,"Binny, Baryabas",,1764-01-01,5.18251,-1.11662
1764,24035,Marquis of Granby,Lancaster,Gambia,Charleston,200,"Kitching, John",,1764-01-01,13.45306,-16.5775
1764,36941,Black Prince,,"Africa, port unspecified",Charleston,145,"Gardner, Caleb",,1764-01-01,#N/A,#N/A
1764,37293,Phillis,Boston,Sierra Leone estuary,Charleston,70,"Gwinn, Peter (a) Gwyn",,1764-01-01,6.49613,-13.17066
1764,90988,Hamilton,Liverpool,Sierra Leone estuary,Charleston,,"Saul, William",,1764-01-01,6.49613,-13.17066
1764,91029,Jenny,Liverpool,"Whydah, Ouidah",Charleston,292,"McKie, George",,1764-01-01,#N/A,#N/A
1764,91056,Marton,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,519,"Wilkinson, John",,1764-01-01,-8.83833,13.23444
1764,17565,Sally,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,330,"Gullan, Thomas",,1764-01-01,-8.83833,13.23444
1764,17569,Tryton,Bristol,"Africa, port unspecified",Charleston,127,"Doyle, Nicholas",,1764-01-01,#N/A,#N/A
1764,17590,Jane,Bristol,Gambia,Charleston,,"Smith, James",,1764-01-01,13.45306,-16.5775
1764,75881,Minories,London,"Windward Coast, place unspecified",Charleston,420,"Williams, William<br/> Bostock",,1764-01-01,#N/A,#N/A
1764,76050,Queen of Barra,London,Sierra Leone estuary,Charleston,300,"Taylor, Alex",,1764-01-01,6.49613,-13.17066
1764,77204,Squirrel,London,Gambia,Charleston,,"Fisher, Thomas",,1764-01-01,13.45306,-16.5775
1764,77769,Africa,London,Gambia,Charleston,180,"Robinson, Thos<br/> Moth, Hugh",,1764-01-01,13.45306,-16.5775
1764,77776,Sally,London,Saint-Louis,Charleston,,"Sloass, James",,1764-01-01,16.12,-16.5
1765,26027,Rodney,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,400,"McDaniel, Daniel",,1765-01-01,-8.83833,13.23444
1765,26028,Providence,,"West Central Africa and St. Helena, port unspecified",Charleston,100,"Williams, Ed",,1765-01-01,-8.83833,13.23444
1765,26029,Essex,,"West Central Africa and St. Helena, port unspecified",Charleston,150,"Barwick, Geo",,1765-01-01,-8.83833,13.23444
1765,24591,Sally,London,"Senegambia and offshore Atlantic, port unspecified",Charleston,90,"Sloass, James<br/> Jones, John",,1765-01-01,15.38333,-16.78333
1765,24608,Pitt,Lancaster,"Africa, port unspecified",Charleston,,"Hodgson, Thos<br/> Wright",,1765-01-01,#N/A,#N/A
1765,24866,Prince George,Lancaster,Sierra Leone estuary,Charleston,160,"Addison, John",,1765-01-01,6.49613,-13.17066
1765,24869,Antelope,Lancaster,Gambia,Charleston,150,"Paley, Thomas",,1765-01-01,13.45306,-16.5775
1765,25232,Virginia,Boston,"Gold Coast, port unspecified",Charleston,80,"Spear, Gresham",,1765-01-01,5.19077,-1.0992
1765,25238,,Boston,"Africa, port unspecified",Charleston,,Ball,,1765-01-01,#N/A,#N/A
1765,24036,Molly,Lancaster,Sierra Leone estuary,Charleston,200,"Woodburn, Thomas",,1765-01-01,6.49613,-13.17066
1765,24038,King Tom,,"Windward Coast, place unspecified",Charleston,250,"Read, John",,1765-01-01,#N/A,#N/A
1765,36295,Speedwell,Newport,Iles de Los,Charleston,43,Congdon,,1765-01-01,9.48039,-13.79534
1765,36297,Three Friends,Newport,Sierra Leone estuary,Charleston,47,"Carpenter, Willett<br/> Draper, Thomas",,1765-01-01,6.49613,-13.17066
1765,36301,Sarah,Newport,"Gold Coast, port unspecified",Charleston,,"Tillinghast, Henry",,1765-01-01,5.19077,-1.0992
1765,36313,Newport Packet,"Rhode Island, port unspecified","Gold Coast, port unspecified",Charleston,154,"Sherman, James",,1765-01-01,5.19077,-1.0992
1765,36314,Nancy,"Rhode Island, port unspecified",Gambia,Charleston,30,"Keast, John",,1765-01-01,13.45306,-16.5775
1765,90717,Britannia,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,220,"Witherington, Robert",,1765-01-01,-8.83833,13.23444
1765,90790,Hannah,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,297,"Prescot, Edward",,1765-01-01,-8.83833,13.23444
1765,90818,Essex,Liverpool,Bassa,Charleston,190,"Seaman, William",,1765-01-01,5.98,-10.14983
1765,90975,Lord Pulteney,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,213,"Hassey, Peter<br/> Hodgson",,1765-01-01,-8.83833,13.23444
1765,91014,Captain,Liverpool,Bassa,Charleston,280,"Dobb, Richard",,1765-01-01,5.98,-10.14983
1765,91112,Apollo,Liverpool,"Gold Coast, port unspecified",Charleston,150,"Hamilton, John",,1765-01-01,5.19077,-1.0992
1765,91135,Black Joke,Liverpool,Gambia,Charleston,90,"Pollard, Joseph<br/> Marshall",,1765-01-01,13.45306,-16.5775
1765,91173,Etty,Liverpool,Gambia,Charleston,283,"Perkins, Chris<br/> Dennison",,1765-01-01,13.45306,-16.5775
1765,91182,Cloe,Liverpool,"Windward Coast, place unspecified",Charleston,234,"Hayman, William",,1765-01-01,#N/A,#N/A
1765,91191,Lively,Liverpool,Gambia,Charleston,170,"Caird, James<br/> Miller, George",,1765-01-01,13.45306,-16.5775
1765,91213,William,Liverpool,Gambia,Charleston,68,"Patten, William",,1765-01-01,13.45306,-16.5775
1765,17572,Ballea Castle,Bristol,Anomabu,Charleston,190,"Halsall, Anthony<br/> Egan, Mathew",,1765-01-01,5.1667,-1.1167
1765,17574,Bonnetta,Bristol,"Windward Coast, place unspecified",Charleston,50,"Maies, Joseph",,1765-01-01,#N/A,#N/A
1765,17583,Duke of York,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Charleston,220,"Bishop, George<br/> Alleyn, Israel",,1765-01-01,4.43333,7.16667
1765,17586,Greyhound,Bristol,Bonny,Charleston,350,"Robe, Alexander",,1765-01-01,4.43333,7.16667
1765,17589,James,Bristol,Gambia,Charleston,64,"Songster, James",,1765-01-01,13.45306,-16.5775
1765,17604,Speedwell,Bristol,Calabar,Charleston,31,"Bivins, James",,1765-01-01,4.95,8.31667
1765,75396,Elizabeth,London,"Gold Coast, port unspecified",Charleston,180,"McNeil, John",,1765-01-01,5.19077,-1.0992
1765,75882,Minories,London,"Windward Coast, place unspecified",Charleston,260,"Williams, William",,1765-01-01,#N/A,#N/A
1765,76326,Woodmanstone,London,Sierra Leone estuary,Charleston,178,"Miller, Joseph",,1765-01-01,6.49613,-13.17066
1765,77767,Fox,London,"Gold Coast, port unspecified",Charleston,170,"Richardson, Francis<br/> Easton, Richard<br/> Brown, George",,1765-01-01,5.19077,-1.0992
1765,77789,Britannia,London,Gambia,Charleston,150,"Knill, John<br/> Deane, Stephen",,1765-01-01,13.45306,-16.5775
1765,77803,Hannah,London,Gambia,Charleston,,"Brewer, Richard",,1765-01-01,13.45306,-16.5775
1765,77804,Dispatch,London,"Gold Coast, port unspecified",Charleston,220,"Taylor, Walter",,1765-01-01,5.19077,-1.0992
1765,77815,Success,London,Saint-Louis,Charleston,76,"Phillips, John",,1765-01-01,16.12,-16.5
1765,78199,New Britannia,,"Africa, port unspecified",Charleston,150,"Deane, Stephen",,1765-01-01,#N/A,#N/A
1766,17637,Antelope,Bristol,Bonny,Charleston,,"Penhale, William",,1766-01-01,4.43333,7.16667
1767,17638,Betsey,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,,"Maxwell, Basil<br/> Chilcott, John",,1767-01-01,-8.83833,13.23444
1767,17644,Cornwall,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,,"Chilcott, John",,1767-01-01,-8.83833,13.23444
1768,91406,Tryal,Liverpool,Sierra Leone estuary,Charleston,360,"Wilding, Richard<br/> Price, Ebenezer",,1768-01-01,6.49613,-13.17066
1768,91483,Dimbia,Liverpool,"Windward Coast, place unspecified",Charleston,,"Bare, Francis",,1768-01-01,#N/A,#N/A
1769,26031,Dembia,,Sierra Leone estuary,Charleston,94,"Bare, Francis",,1769-01-01,6.49613,-13.17066
1769,36381,Shelburne,London,Galam,Charleston,138,"Clark, James",,1769-01-01,0,0
1769,91131,Aston,Liverpool,Gambia,Charleston,126,"Caird, James<br/> Henitor, Henry",,1769-01-01,13.45306,-16.5775
1769,91276,Shark,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Charleston,60,"Addison, Robert<br/> Ashburn, John",,1769-01-01,4.43333,7.16667
1769,91319,Prince George,Lancaster,Sierra Leone estuary,Charleston,,"Addison, John",,1769-01-01,6.49613,-13.17066
1769,91325,Corker,Liverpool,Banana Islands,Charleston,127,"Allenby, John",,1769-01-01,8.10473,-13.22867
1769,91336,Saint John,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,240,"Clifton, John",,1769-01-01,-8.83833,13.23444
1769,91344,James,Liverpool,Bassa,Charleston,340,"Billinge, Henry",,1769-01-01,5.98,-10.14983
1769,91350,Cato,Liverpool,Benin,Charleston,239,"Gill, William",,1769-01-01,6.3176,5.6145
1769,91368,Edgar,Liverpool,Calabar,Charleston,275,"Madden, Henry",,1769-01-01,4.95,8.31667
1769,91393,Harriet,Liverpool,Gallinhas,"South Carolina, place unspecified",170,"Rymer, Thomas",,1769-01-01,7.26016,-12.04157
1769,91436,Lilly,Liverpool,Sierra Leone estuary,Charleston,120,"Scrogham, John<br/> Salcraig, James",,1769-01-01,6.49613,-13.17066
1769,91451,John,Liverpool,"Windward Coast, place unspecified",Charleston,280,"Fletcher, John<br/> Eaton",,1769-01-01,#N/A,#N/A
1769,91464,Sally,Liverpool,Cape Mount (Cape Grand Mount),Charleston,296,"Evans, George",,1769-01-01,6.70407,-11.30905
1769,91474,Jenny (a) Nancy,Liverpool,Sierra Leone estuary,Charleston,178,"Webster, Richard",Slave insurrection,1769-01-01,6.49613,-13.17066
1769,91482,Sisters,Liverpool,Gambia,Charleston,128,"Kirkby, Henry",,1769-01-01,13.45306,-16.5775
1769,17706,Mercury,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,252,"Maxwell, Basil",,1769-01-01,-8.83833,13.23444
1769,17734,King George,London,Sierra Leone estuary,Charleston,150,"Graham, William",,1769-01-01,6.49613,-13.17066
1769,75298,Countess of Sussex,London,Gambia,Charleston,250,"Davies, Thomas",,1769-01-01,13.45306,-16.5775
1769,76101,Royal George,London,"West Central Africa and St. Helena, port unspecified",Charleston,360,"Blundell, Thomas<br/> Seaman",,1769-01-01,-8.83833,13.23444
1769,77965,Neptune,London,Anomabu,Charleston,340,"Price, Ebenezer",,1769-01-01,5.1667,-1.1167
1769,77966,Squirrel,London,Gambia,Charleston,114,"Fisher, Thomas",,1769-01-01,13.45306,-16.5775
1770,91485,Cavendish,Liverpool,Delagoa,Charleston,190,"Penny, James",,1770-01-01,-26.21967,32.71726
1771,26032,Friendship,,"Gold Coast, port unspecified",Charleston,105,"Wooster, John",,1771-01-01,5.19077,-1.0992
1771,24689,Jupiter,,"Africa, port unspecified",Charleston,,Coiting,,1771-01-01,#N/A,#N/A
1771,91588,Mars,Liverpool,Cape Mount (Cape Grand Mount),Charleston,200,"Holland, Francis",,1771-01-01,6.70407,-11.30905
1771,91688,Saville,Liverpool,Sierra Leone estuary,Charleston,172,"Kendall, James",,1771-01-01,6.49613,-13.17066
1771,91713,Lively,Liverpool,Gambia,Charleston,,"Clifton, John<br/> Courtney, Henry",,1771-01-01,13.45306,-16.5775
1771,91735,Two Brothers,Liverpool,Gambia,Charleston,200,"Glenn, Hugh",Slave insurrection,1771-01-01,13.45306,-16.5775
1771,91466,Sally,Liverpool,Cape Mount (Cape Grand Mount),Charleston,291,"Evans, George",,1771-01-01,6.70407,-11.30905
1771,17744,Betsey,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,,"Morgan, William",,1771-01-01,-8.83833,13.23444
1771,17753,Hector,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,,"Llewellin, William",,1771-01-01,-8.83833,13.23444
1771,17778,Gambia,Bristol,Gambia,Charleston,133,"Willis, James",,1771-01-01,13.45306,-16.5775
1771,78017,New Britannia,London,Gambia,Charleston,90,"Deane, Stephen",,1771-01-01,13.45306,-16.5775
1771,78278,Charlotte,Charleston,Bance/Bunce Island,Charleston,118,"Tosh, James",,1771-01-01,#N/A,#N/A
1771,79017,Warren,Lancaster,Sierra Leone estuary,Charleston,120,"Thompson, John",,1771-01-01,6.49613,-13.17066
1772,26033,Henrieta,,"Windward Coast, place unspecified",Charleston,98,"Steel, Benj",,1772-01-01,#N/A,#N/A
1772,26034,Thomas and Anthony,,Gambia,Charleston,200,"Gibbs, Solomon",,1772-01-01,13.45306,-16.5775
1772,26035,Sukey and Nancy,,"Gold Coast, port unspecified",Charleston,120,"Newbold, Thomas",,1772-01-01,5.19077,-1.0992
1772,25376,Beggar's Bennison,Boston,Anomabu,Charleston,100,"Dunn, David",,1772-01-01,5.1667,-1.1167
1772,91568,Unity,Liverpool,"Whydah, Ouidah",Charleston,315,"Norris, Robert",,1772-01-01,#N/A,#N/A
1772,91704,Molly,Liverpool,Gambia,Charleston,,"Duesberry, Robert<br/> Moore, John",,1772-01-01,13.45306,-16.5775
1772,91729,Two Brothers,Liverpool,Gambia,Charleston,,"Glenn, Hugh",,1772-01-01,13.45306,-16.5775
1772,91744,Mary,Liverpool,Sierra Leone estuary,Charleston,197,"Leverdon, William<br/> Wilson, Charles",,1772-01-01,6.49613,-13.17066
1772,91765,Apollo,Liverpool,Cape Mount (Cape Grand Mount),Charleston,147,"Fisher, Edward",,1772-01-01,6.70407,-11.30905
1772,17773,Betsey,Bristol,Malembo,Charleston,285,"Morgan, William",,1772-01-01,-5.33333,12.18333
1772,17780,Hector,Bristol,Malembo,Charleston,304,"Llewellin, William",,1772-01-01,-5.33333,12.18333
1772,75533,Friendship,London,Anomabu,Charleston,390,"Cumming, James",,1772-01-01,5.1667,-1.1167
1772,75932,New Britannia,London,Gambia,Charleston,220,"Deane, Stephen",,1772-01-01,13.45306,-16.5775
1772,76035,Providence,London,Gambia,Charleston,156,"Mason, Abraham<br/> Davis",,1772-01-01,13.45306,-16.5775
1772,78057,Venus,London,Anomabu,Charleston,,"Goodwin, Thomas",,1772-01-01,5.1667,-1.1167
1772,78067,Fly,London,"Windward Coast, place unspecified",Charleston,138,"Griffiths, Eaglesfield",,1772-01-01,#N/A,#N/A
1772,78812,Africa,"Grenada, place unspecified",Sierra Leone estuary,Charleston,218,Wallace,,1772-01-01,6.49613,-13.17066
1772,79019,Prince George,Lancaster,"Windward Coast, place unspecified",Charleston,123,"Davies, Thomas",,1772-01-01,#N/A,#N/A
1772,79024,Warren,Lancaster,Sierra Leone estuary,Charleston,130,"Thompson, John",,1772-01-01,6.49613,-13.17066
1773,25832,Venus,Charleston,Anomabu,Charleston,350,"Goodwin, Thomas",,1773-01-01,5.1667,-1.1167
1773,26038,Gallam (a) Mary,,Sierra Leone estuary,Charleston,318,"White, And",,1773-01-01,6.49613,-13.17066
1773,26041,Friendship,Portsmouth (NH),"Gold Coast, port unspecified",Charleston,140,"MacKenzie, Sr., Andrew",,1773-01-01,5.19077,-1.0992
1773,26043,John,,Sierra Leone estuary,Charleston,86,"Montany, Jos",,1773-01-01,6.49613,-13.17066
1773,24715,Swift,,Gambia,Charleston,65,"Deane, Stephen",,1773-01-01,13.45306,-16.5775
1773,24721,Meredith,Liverpool,Iles de Los,Charleston,350,"Wilson, Charles",,1773-01-01,9.48039,-13.79534
1773,36423,Liberty,"Rhode Island, port unspecified","Whydah, Ouidah",Charleston,175,"Crump, Richard",,1773-01-01,#N/A,#N/A
1773,36439,Fanny,Newport,"Gold Coast, port unspecified",Charleston,206,"Hicks, Benj",,1773-01-01,5.19077,-1.0992
1773,36440,Sebenia,"Rhode Island, port unspecified",Saint-Louis,Charleston,200,"Clarke, James",,1773-01-01,16.12,-16.5
1773,37024,John,New York,Sierra Leone estuary,Charleston,,"Richards, Roger<br/> Wilson, John",,1773-01-01,6.49613,-13.17066
1773,91626,Edward,Liverpool,Anomabu,Charleston,180,"Grayson, Henry",,1773-01-01,5.1667,-1.1167
1773,91724,Cavendish,Liverpool,"Gold Coast, port unspecified",Charleston,318,"Williams, Thomas",,1773-01-01,5.19077,-1.0992
1773,91730,Two Brothers,Liverpool,Gambia,Charleston,160,"Glenn, Hugh",,1773-01-01,13.45306,-16.5775
1773,91737,Hawke,Liverpool,Cape Mount (Cape Grand Mount),Charleston,250,"Ralph, Thomas",,1773-01-01,6.70407,-11.30905
1773,91760,Hazard,Liverpool,"Windward Coast, place unspecified",Charleston,165,"Hughes, Joseph",,1773-01-01,#N/A,#N/A
1773,91819,Spy,Liverpool,"Windward Coast, place unspecified",Charleston,,"Stewart, Henry",,1773-01-01,#N/A,#N/A
1773,91825,Charlotte,Liverpool,Sierra Leone estuary,Charleston,110,"Powell, Thomas",,1773-01-01,6.49613,-13.17066
1773,91830,Nancy,Liverpool,Cape Mount (Cape Grand Mount),Charleston,130,"Blower, Thomas",,1773-01-01,6.70407,-11.30905
1773,91849,Blossom,Liverpool,Cape Mount (Cape Grand Mount),Charleston,274,"Briggs, William",,1773-01-01,6.70407,-11.30905
1773,91883,Robert,Liverpool,Cape Coast Castle,Charleston,130,"Mann, Luke",,1773-01-01,5.18251,-1.11662
1773,91889,Thomas,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,160,"Lyon, Edward",,1773-01-01,-8.83833,13.23444
1773,91896,Little Ben,Liverpool,"Windward Coast, place unspecified",Charleston,106,"Melling, Thomas",,1773-01-01,#N/A,#N/A
1773,91898,Corsican Hero,Liverpool,Anomabu,Charleston,210,"Blundell, Richard<br/> Noble, Clement",,1773-01-01,5.1667,-1.1167
1773,91903,Stanley,Lancaster,Sierra Leone estuary,Charleston,155,"Abson, John",,1773-01-01,6.49613,-13.17066
1773,91915,Hereford,Liverpool,Sierra Leone estuary,Charleston,,"Harrison, William",,1773-01-01,6.49613,-13.17066
1773,91959,Hope,Liverpool,Gambia,Charleston,100,"Turnand, John",,1773-01-01,13.45306,-16.5775
1773,91556,York,Liverpool,"Windward Coast, place unspecified",Charleston,125,"Wilson, Robert",,1773-01-01,#N/A,#N/A
1773,17796,Africa,Bristol,"Africa, port unspecified",Charleston,190,"Vaughan, Walter<br/> Fraser, Gavin",,1773-01-01,#N/A,#N/A
1773,17800,Catherine,Bristol,Malembo,Charleston,237,"Fraser, James<br/> Jones, Thomas",,1773-01-01,-5.33333,12.18333
1773,17806,Gambia,Bristol,Gambia,Charleston,170,"Willis, James",,1773-01-01,13.45306,-16.5775
1773,17807,Greyhound,Bristol,Calabar,Charleston,132,"Patterson, Jacob<br/> O'Neil, Terence",,1773-01-01,4.95,8.31667
1773,17811,Jason,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,253,"Merrick, George",,1773-01-01,-8.83833,13.23444
1773,17814,Maesgwin,Bristol,"Gold Coast, port unspecified",Charleston,270,"Brown, Windsor",,1773-01-01,5.19077,-1.0992
1773,17826,Betsey,Bristol,Gambia,Charleston,150,"Morgan, William",,1773-01-01,13.45306,-16.5775
1773,17840,King George,London,Saint-Louis,Charleston,150,"Graham, William",,1773-01-01,16.12,-16.5
1773,75161,Betty and Jenny,London,Gambia,Charleston,180,"Thompson, Alexander",,1773-01-01,13.45306,-16.5775
1773,75625,Heart of Oak,London,Saint-Louis,Charleston,104,"Patterson, Robert",,1773-01-01,16.12,-16.5
1773,76118,Sabina,London,Saint-Louis,Charleston,200,"Dove<br/> Clark, John<br/> Haycraft, Samuel",,1773-01-01,16.12,-16.5
1773,77171,Providence,London,Gambia,Charleston,130,"Griffiths, E<br/> Aynstie, Robt",,1773-01-01,13.45306,-16.5775
1773,77891,Molly,Lancaster,Sierra Leone estuary,Charleston,100,"Read, John",,1773-01-01,6.49613,-13.17066
1773,78102,George,London,Saint-Louis,Charleston,160,"Cornwall, Thomas<br/> Graham, William",,1773-01-01,16.12,-16.5
1773,78105,Amelia,London,"Africa, port unspecified",Charleston,,"Lothian, Patrick<br/> McNeil, John",,1773-01-01,#N/A,#N/A
1773,78106,Expedition,London,Saint-Louis,Charleston,,"Dove, Michael",,1773-01-01,16.12,-16.5
1773,78112,Briton,London,Saint-Louis,Charleston,150,"Cliff, William",,1773-01-01,16.12,-16.5
1773,78840,Roseau,,Saint-Louis,Charleston,,"Clark, Walter",,1773-01-01,16.12,-16.5
1773,79028,Nelly,Lancaster,Sierra Leone estuary,Charleston,150,"Kendall, Robert<br/> Maychell, James",,1773-01-01,6.49613,-13.17066
1773,79045,Prince George,Lancaster,Sierra Leone estuary,Charleston,80,"Davies, Thomas",,1773-01-01,6.49613,-13.17066
1774,26052,Maria,,Iles de Los,Charleston,36,"Grinnell, Richard",,1774-01-01,9.48039,-13.79534
1774,24748,Mary,London,Saint-Louis,Charleston,,"Barville, Js (a) Bardin",,1774-01-01,16.12,-16.5
1774,36473,Fanny,"Rhode Island, port unspecified",Anomabu,Charleston,60,"Stanton, John",,1774-01-01,5.1667,-1.1167
1774,91590,Mars,Liverpool,Cape Mount (Cape Grand Mount),Charleston,,"Holland, Francis",,1774-01-01,6.70407,-11.30905
1774,91826,Charlotte,Liverpool,Iles de Los,Charleston,140,"Powell, Thomas<br/> Quirk",,1774-01-01,9.48039,-13.79534
1774,91906,Peggy,Liverpool,"Windward Coast, place unspecified",Charleston,,"Sharpe, William<br/> McMein, George",,1774-01-01,#N/A,#N/A
1774,91969,Unity,Liverpool,"Whydah, Ouidah",Charleston,,"Barrow, John<br/> Norris, Robert",,1774-01-01,#N/A,#N/A
1774,91992,Bacchus,Liverpool,Cape Mount (Cape Grand Mount),Charleston,,"Hayman, William<br/> Nevin, John<br/> Barber, John",,1774-01-01,6.70407,-11.30905
1774,91999,Caton,Liverpool,Gambia,Charleston,230,"McCutchan, Samuel<br/> Williams, Joseph",,1774-01-01,13.45306,-16.5775
1774,17825,Ambris,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,49,"Lovegrove, Jonathan",,1774-01-01,-8.83833,13.23444
1774,17827,Betsey,Bristol,Gambia,Charleston,128,"Morgan, William",,1774-01-01,13.45306,-16.5775
1774,17835,Gambia,Bristol,Gambia,Charleston,86,"Willis, James",,1774-01-01,13.45306,-16.5775
1774,17836,Hector,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,296,"Llewellin, William",,1774-01-01,-8.83833,13.23444
1774,17842,Maesgwyn,Bristol,Anomabu,Charleston,300,"Brown, Windsor",,1774-01-01,5.1667,-1.1167
1774,75446,Expedition,London,Saint-Louis,Charleston,143,"Spence, John",,1774-01-01,16.12,-16.5
1774,75778,Lord North,London,Saint-Louis,Charleston,180,"Cornwall, Thomas",,1774-01-01,16.12,-16.5
1774,76120,Sabina,London,Saint-Louis,Charleston,200,"Clark, Walter",,1774-01-01,16.12,-16.5
1774,78124,Prince Tom,London,Gambia,Charleston,150,"Mason, Benjamin",,1774-01-01,13.45306,-16.5775
1774,78131,Brewton,London,"Africa, port unspecified",Charleston,,"Goodwin, Richard<br/> Dean<br/> White",,1774-01-01,#N/A,#N/A
1774,78139,Little Archy,London,"Africa, port unspecified",Charleston,,"Anderson, Archibald",,1774-01-01,#N/A,#N/A
1774,78142,Francis,London,Saint-Louis,Charleston,280,"Williamson, Edward",,1774-01-01,16.12,-16.5
1774,78150,Heart of Oak,London,Saint-Louis,Charleston,,"Patterson, Robert",,1774-01-01,16.12,-16.5
1774,78159,Mally (a) Molly,London,Bance/Bunce Island,Charleston,200,"Smith, George",,1774-01-01,#N/A,#N/A
1774,78902,Jenny,Lancaster,Sierra Leone estuary,Charleston,120,"Thompson, John",,1774-01-01,6.49613,-13.17066
1775,24745,Fanny,Piscataqua,"Gold Coast, port unspecified",Charleston,,"Mayne, William",,1775-01-01,5.19077,-1.0992
